species,id,leaf_area_cm2
hear,13,201.674
hear,12,126.671
hear,2,160.121
hear,9,218.324
hear,25,71.173
hear,20,200.432
hear,23,273.341
hear,22,194.17
hear,16,162.136
ceol,5,18.898
ceol,47,102.398
ceol,29,122.207
ceol,8,51.488
ceol,7,45.097
ceol,10,10.998
ceol,13,114.753
ceol,16,81.789
ceol,43,395.455
