species,id,time_sec,weight_g,delta_weight,leaf_1,leaf_2,leaf_3,leaf_area
rhov,29,15.10794,,0.0016,0.211,0.237,0.266,53.452
rhov,49,15.10702,,0.0012,0.111,0.254,0.352,45.406
rhov,26,15.10718489,,0.0012,0.05,0.056,,16.745
hear,5,,92.0254,,0.331,0.141,0.108,64.975
hear,5,20,92.0239,-0.0015,0.331,0.141,0.108,64.975
hear,5,20,92.02224,-0.00166,0.331,0.141,0.108,64.975
hear,5,20,92.02108,-0.00116,0.331,0.141,0.108,64.975
hear,5,20,92.0191,-0.00198,0.331,0.141,0.108,64.975
hear,5,20,92.0178,-0.0013,0.331,0.141,0.108,64.975
hear,1,20,110.4049,,0.316,0.22,0.298,85.078
hear,1,20,110.4025,-0.0024,0.316,0.22,0.298,85.078
hear,1,20,110.3997,-0.0028,0.316,0.22,0.298,85.078
hear,1,20,110.3974,-0.0023,0.316,0.22,0.298,85.078
hear,1,20,110.3949,-0.0025,0.316,0.22,0.298,85.078
hear,1,20,110.3927,-0.0022,0.316,0.22,0.298,85.078
hear,1,20,110.39,-0.0027,0.316,0.22,0.298,85.078
hear,1,20,110.3877,-0.0023,0.316,0.22,0.298,85.078
hear,7,20,110.3955,,0.251,0.175,0.075,40.642
hear,7,20,110.3937,-0.0018,0.251,0.175,0.075,40.642
hear,7,20,110.3924,-0.0013,0.251,0.175,0.075,40.642
hear,7,20,110.3911,-0.0013,0.251,0.175,0.075,40.642
hear,7,20,110.38997,-0.00113,0.251,0.175,0.075,40.642
hear,7,20,110.3883,-0.00167,0.251,0.175,0.075,40.642
hear,7,20,110.3868,-0.0015,0.251,0.175,0.075,40.642
hear,7,20,110.3855,-0.0013,0.251,0.175,0.075,40.642
hear,7,20,110.3841,-0.0014,0.251,0.175,0.075,40.642
hear,17,20,110.3564,,0.342,0.125,0.276,96.019
hear,17,20,110.353,-0.0034,0.342,0.125,0.276,96.019
hear,17,20,110.35,-0.003,0.342,0.125,0.276,96.019
hear,17,20,110.347,-0.003,0.342,0.125,0.276,96.019
hear,17,20,110.3442,-0.0028,0.342,0.125,0.276,96.019
hear,17,20,110.3409,-0.0033,0.342,0.125,0.276,96.019
hear,17,20,110.338,-0.0029,0.342,0.125,0.276,96.019
hear,17,20,110.3348,-0.0032,0.342,0.125,0.276,96.019
hear,11,20,110.2713,,0.644,0.279,0.382,98.984
hear,11,20,110.2693,-0.002,0.644,0.279,0.382,98.984
hear,11,20,110.2675,-0.0018,0.644,0.279,0.382,98.984
hear,11,20,110.2657,-0.0018,0.644,0.279,0.382,98.984
hear,11,20,110.2639,-0.0018,0.644,0.279,0.382,98.984
hear,11,20,110.2623,-0.0016,0.644,0.279,0.382,98.984
hear,11,20,110.2606,-0.0017,0.644,0.279,0.382,98.984
ceol,44,20,109.61,,0.353,0.456,0.366,87.437
ceol,44,20,109.47,-0.14,0.353,0.456,0.366,87.437
ceol,44,20,109.34,-0.13,0.353,0.456,0.366,87.437
ceol,44,20,109.21,-0.13,0.353,0.456,0.366,87.437
ceol,44,20,109.07,-0.14,0.353,0.456,0.366,87.437
ceol,44,20,108.94,-0.13,0.353,0.456,0.366,87.437
ceol,44,20,108.81,-0.13,0.353,0.456,0.366,87.437
ceol,36,20,105.72,,0.748,0.97,0.842,85.324
ceol,36,20,105.69,-0.03,0.748,0.97,0.842,85.324
ceol,36,20,105.67,-0.02,0.748,0.97,0.842,85.324
ceol,36,20,105.651,-0.019,0.748,0.97,0.842,85.324
ceol,36,20,105.628,-0.023,0.748,0.97,0.842,85.324
ceol,36,20,105.605,-0.023,0.748,0.97,0.842,85.324
ceol,36,20,105.5983,-0.0067,0.748,0.97,0.842,85.324
ceol,36,40,105.537,-0.0613,0.748,0.97,0.842,85.324
ceol,36,20,105.514,-0.023,0.748,0.97,0.842,85.324
ceol,36,20,105.494,-0.02,0.748,0.97,0.842,85.324
ceol,33,20,104.01,,1.622,0.141,0.345,44.493
ceol,33,20,103.993,-0.017,1.622,0.141,0.345,44.493
ceol,33,20,103.971,-0.022,1.622,0.141,0.345,44.493
ceol,33,20,103.95,-0.021,1.622,0.141,0.345,44.493
ceol,33,20,103.929,-0.021,1.622,0.141,0.345,44.493
ceol,33,20,103.907,-0.022,1.622,0.141,0.345,44.493
ceol,33,20,103.886,-0.021,1.622,0.141,0.345,44.493
ceol,49,20,103.384,,0.207,0.179,0.106,72.037
ceol,49,20,103.378,-0.006,0.207,0.179,0.106,72.037
ceol,49,20,103.3721,-0.0059,0.207,0.179,0.106,72.037
ceol,49,20,103.3658,-0.0063,0.207,0.179,0.106,72.037
ceol,49,20,103.3594,-0.0064,0.207,0.179,0.106,72.037
ceol,49,20,103.353,-0.0064,0.207,0.179,0.106,72.037
ceol,49,20,103.3468,-0.0062,0.207,0.179,0.106,72.037
ceol,39,20,102.97,,0.498,0.455,0.458,153.489
ceol,39,20,102.9647,-0.0053,0.498,0.455,0.458,153.489
ceol,39,20,102.9592,-0.0055,0.498,0.455,0.458,153.489
ceol,39,20,102.9541,-0.0051,0.498,0.455,0.458,153.489
ceol,39,20,102.9484,-0.0057,0.498,0.455,0.458,153.489
ceol,39,20,102.9432,-0.0052,0.498,0.455,0.458,153.489
ceol,39,20,102.9375,-0.0057,0.498,0.455,0.458,153.489
