species,id,diameter_mm,length_mm
ceol,5,2.94,216
ceol,5,1,19.51
ceol,5,1.02,14.56
ceol,5,1.16,18.63
ceol,47,3.8,196
ceol,47,1.67,132
ceol,47,1.57,99
ceol,47,1.69,141
ceol,47,1.3,75.72
ceol,47,1.42,69.08
ceol,47,1.08,32.8
ceol,47,1.28,22.17
ceol,29,3.9,306
ceol,29,1.61,159
ceol,29,1.37,77.14
ceol,29,1.12,98.27
ceol,29,1.28,83.02
ceol,29,1.03,61.63
ceol,29,1.15,35.78
ceol,29,0.98,48.3
ceol,29,1.02,72.86
ceol,29,0.96,22.94
ceol,29,0.95,21.65
ceol,29,0.46,28.39
ceol,29,0.86,26.05
ceol,29,1.23,15.84
hear,13,3.185,155
hear,2,2.4975,142
hear,12,2.7475,126
hear,9,2.995,205
hear,25,4.035,152
hear,20,4.04,225
hear,23,3.405,251
hear,22,2.735,209
hear,16,3.9575,147
ceol,8,3.2275,290
ceol,7,3.415,245
ceol,10,2.5775,167
ceol,13,3.0475,221
ceol,16,3.1875,187
ceol,43,3.9775,463
