Timestamp,ID,Device Name,Nutrient,Moisture,Temperature,Medium,Nutrient min,Nutrient max,Moisture min,Moisture max,Note
49:57.0,2808,Pulse-BC04,2.01,47,12,Mixed medium,0,15,0,100,ceol-28-w
49:30.0,2807,Pulse-BC04,1.64,32,12.2,Mixed medium,0,15,0,100,ceol-18-w
48:58.0,2806,Pulse-BC04,2.15,49,12,Mixed medium,0,15,0,100,ceol-45-w
48:31.0,2805,Pulse-BC04,1.47,36,12.1,Mixed medium,0,15,0,100,hear-15-w
48:08.0,2804,Pulse-BC04,1.69,40,11.9,Mixed medium,0,15,0,100,hear-4-w
47:44.0,2803,Pulse-BC04,2.01,45,12,Mixed medium,0,15,0,100,rhov-44-w
47:18.0,2802,Pulse-BC04,1.72,35,12.1,Mixed medium,0,15,0,100,rhov-2-w
46:54.0,2801,Pulse-BC04,1.95,44,11.9,Mixed medium,0,15,0,100,rhov-35-w
46:28.0,2800,Pulse-BC04,1.71,35,11.9,Mixed medium,0,15,0,100,rhov-36-w
46:03.0,2799,Pulse-BC04,1.92,45,11.9,Mixed medium,0,15,0,100,rhov-12-w
45:34.0,2798,Pulse-BC04,1.61,32,11.9,Mixed medium,0,15,0,100,hear-20-w
45:12.0,2797,Pulse-BC04,2.1,50,11.9,Mixed medium,0,15,0,100,rhov-22-w
44:52.0,2796,Pulse-BC04,1.68,36,11.9,Mixed medium,0,15,0,100,hear-23-w
44:26.0,2795,Pulse-BC04,1.82,39,11.8,Mixed medium,0,15,0,100,rhov-16-w
44:00.0,2794,Pulse-BC04,1.88,35,11.8,Mixed medium,0,15,0,100,rhov-37-w
43:34.0,2793,Pulse-BC04,1.83,41,11.9,Mixed medium,0,15,0,100,rhov-6-w
43:11.0,2792,Pulse-BC04,2.33,51,11.9,Mixed medium,0,15,0,100,rhov-7-w
42:41.0,2791,Pulse-BC04,1.96,40,11.8,Mixed medium,0,15,0,100,rhov-23-w
42:10.0,2790,Pulse-BC04,1.82,38,11.9,Mixed medium,0,15,0,100,ceol-43-w
41:31.0,2789,Pulse-BC04,1.61,33,11.9,Mixed medium,0,15,0,100,ceol-6-w
41:07.0,2788,Pulse-BC04,1.87,40,12.1,Mixed medium,0,15,0,100,rhov-45-w
40:45.0,2787,Pulse-BC04,1.74,38,11.9,Mixed medium,0,15,0,100,rhov-8-w
40:22.0,2786,Pulse-BC04,1.95,38,11.7,Mixed medium,0,15,0,100,rhov-25-w
39:55.0,2785,Pulse-BC04,2.12,48,12.2,Mixed medium,0,15,0,100,rhov-14-w
39:34.0,2784,Pulse-BC04,2.04,43,12.5,Mixed medium,0,15,0,100,rhov-5-w
39:08.0,2783,Pulse-BC04,1.89,40,12.5,Mixed medium,0,15,0,100,rhov-30-w
38:23.0,2782,Pulse-BC04,1.56,33,13.1,Mixed medium,0,15,0,100,ceol-4-w
38:03.0,2781,Pulse-BC04,0,6,14,Mixed medium,0,15,0,100,
28:45.0,2780,Pulse-BC04,1.09,14,22.3,Mixed medium,0,15,0,100,
28:33.0,2779,Pulse-BC04,1.11,18,22.3,Mixed medium,0,15,0,100,
28:16.0,2778,Pulse-BC04,1.06,20,22.5,Mixed medium,0,15,0,100,
28:02.0,2777,Pulse-BC04,1.38,27,22.7,Mixed medium,0,15,0,100,
27:35.0,2776,Pulse-BC04,1.07,16,22.2,Mixed medium,0,15,0,100,
27:23.0,2775,Pulse-BC04,1.11,16,22.4,Mixed medium,0,15,0,100,
26:24.0,2774,Pulse-BC04,1.08,16,23.2,Mixed medium,0,15,0,100,
26:13.0,2773,Pulse-BC04,1.17,17,23,Mixed medium,0,15,0,100,
25:56.0,2772,Pulse-BC04,1.28,24,22.7,Mixed medium,0,15,0,100,
25:44.0,2771,Pulse-BC04,1.15,17,22.7,Mixed medium,0,15,0,100,
25:32.0,2770,Pulse-BC04,1.4,27,22.3,Mixed medium,0,15,0,100,
25:21.0,2769,Pulse-BC04,1.14,16,22.3,Mixed medium,0,15,0,100,
24:52.0,2768,Pulse-BC04,1.19,20,22.8,Mixed medium,0,15,0,100,
24:41.0,2767,Pulse-BC04,1.11,17,22.7,Mixed medium,0,15,0,100,
24:30.0,2766,Pulse-BC04,1.21,19,22.1,Mixed medium,0,15,0,100,
24:17.0,2765,Pulse-BC04,1.4,26,22.2,Mixed medium,0,15,0,100,
24:07.0,2764,Pulse-BC04,1.24,21,21.8,Mixed medium,0,15,0,100,
23:36.0,2763,Pulse-BC04,1.06,17,22.5,Mixed medium,0,15,0,100,
23:26.0,2762,Pulse-BC04,1.03,17,22.3,Mixed medium,0,15,0,100,
23:13.0,2761,Pulse-BC04,1.36,25,22.1,Mixed medium,0,15,0,100,
23:01.0,2760,Pulse-BC04,1.18,16,22.1,Mixed medium,0,15,0,100,
22:50.0,2759,Pulse-BC04,1.18,19,21.8,Mixed medium,0,15,0,100,
22:26.0,2758,Pulse-BC04,0,6,21.1,Mixed medium,0,15,0,100,
11:08.0,2757,Pulse-BC04,2.52,59,20.8,Mixed medium,0,15,0,100,
10:56.0,2756,Pulse-BC04,1.73,43,20.9,Mixed medium,0,15,0,100,
10:35.0,2755,Pulse-BC04,1.72,36,20.6,Mixed medium,0,15,0,100,
10:11.0,2754,Pulse-BC04,2.43,58,23.6,Mixed medium,0,15,0,100,
09:57.0,2753,Pulse-BC04,2.52,55,22,Mixed medium,0,15,0,100,
07:50.0,2752,Pulse-BC04,1.96,50,23.1,Mixed medium,0,15,0,100,
07:37.0,2751,Pulse-BC04,2.77,60,22,Mixed medium,0,15,0,100,
