flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220406111326,11:13:26,2022-04-06,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,95.922409,80.433014,0.161478,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,88.857651,9962.056641,1
0.010000,93.217133,9962.056641,1
0.020000,94.293594,9962.056641,1
0.030000,94.777466,9962.056641,1
0.040000,95.000267,9962.056641,1
0.050000,95.120071,9962.056641,1
0.060000,95.182655,9962.056641,1
0.070000,95.234512,9962.056641,1
0.080000,95.254539,9962.056641,1
0.090000,95.269562,9962.056641,1
0.100000,95.298531,9962.056641,1
0.110000,95.354317,9962.056641,1
0.120000,95.367195,9962.056641,1
0.130000,95.382217,9962.056641,1
0.140000,95.387222,9962.056641,1
0.150000,95.384720,9962.056641,1
0.160000,95.401886,9962.056641,1
0.170000,95.413681,9962.056641,1
0.180000,95.406532,9962.056641,1
0.190000,95.401169,9962.056641,1
0.200000,95.404747,9962.056641,1
0.210000,95.408676,9962.056641,1
0.220000,95.396164,9962.056641,1
0.230000,95.387939,9962.056641,1
0.240000,95.391869,9962.056641,1
0.250000,95.413330,9962.056641,1
0.260000,95.412613,9962.056641,1
0.270000,95.398666,9962.056641,1
0.280000,95.381142,9962.056641,1
0.290000,95.366478,9962.056641,1
0.300000,95.342163,9879.045898,2
0.310000,95.335365,9796.036133,2
0.320000,95.376846,9713.025391,2
0.330000,95.355392,9630.014648,2
0.340000,95.343948,9547.004883,2
0.350000,95.394012,9463.994141,2
0.360000,95.378281,9380.984375,2
0.370000,95.424774,9297.973633,2
0.380000,95.407959,9214.962891,2
0.390000,95.420837,9131.953125,2
0.400000,95.478416,9048.942383,2
0.410000,95.470901,8965.932617,2
0.420000,95.520615,8882.921875,2
0.430000,95.503807,8799.911133,2
0.440000,95.488426,8716.901367,2
0.450000,95.468399,8633.890625,2
0.460000,95.454094,8550.880859,2
0.470000,95.427635,8467.870117,2
0.480000,95.408676,8384.859375,2
0.490000,95.382927,8301.849609,2
0.500000,95.357178,8218.838867,2
0.510000,95.324638,8135.828613,2
0.520000,95.317482,8052.818359,2
0.530000,95.314262,7969.808105,2
0.540000,95.303177,7886.797363,2
0.550000,95.284225,7803.787109,2
0.560000,95.260262,7720.776855,2
0.570000,95.242378,7637.766602,2
0.580000,95.235229,7554.755859,2
0.590000,95.209480,7471.745605,2
0.600000,95.067505,9962.056641,3
0.610000,95.138313,9962.056641,3
0.620000,95.156548,9962.056641,3
0.630000,95.159058,9962.056641,3
0.640000,95.138313,9962.056641,3
0.650000,95.145821,9962.056641,3
0.660000,95.147614,9962.056641,3
0.670000,95.161911,9962.056641,3
0.680000,95.175865,9962.056641,3
0.690000,95.195892,9962.056641,3
0.700000,95.195175,9962.056641,3
0.710000,95.201965,9962.056641,3
0.720000,95.191956,9962.056641,3
0.730000,95.194099,9962.056641,3
0.740000,95.188736,9962.056641,3
0.750000,95.161911,9962.056641,3
0.760000,95.147964,9962.056641,3
0.770000,95.131157,9962.056641,3
0.780000,95.127937,9962.056641,3
0.790000,95.112206,9962.056641,3
0.800000,95.110771,9962.056641,3
0.810000,95.121857,9962.056641,3
0.820000,95.127228,9962.056641,3
0.830000,95.134377,9962.056641,3
0.839999,95.142242,9962.056641,3
0.849999,95.153336,9962.056641,3
0.859999,95.158699,9962.056641,3
0.869999,95.144394,9962.056641,3
0.879999,95.122932,9962.056641,3
0.889999,95.096825,9962.056641,3
