flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220510121404,12:14:04,2022-05-10,PFA-00370,PSA-00387,PSF-00342,164.636139,73.191048,0.555438,0.000000,0.000000,0.000000,0.239217

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,130.611771,5977.226074
0.010000,149.565338,5977.226074
0.020000,152.925613,5977.226074
0.030000,154.109711,5977.226074
0.040000,154.402252,5977.226074
0.050000,154.460556,5977.226074
0.060000,154.574997,5977.226074
0.070000,154.811737,5977.226074
0.080000,155.195114,5977.226074
0.090000,155.714386,5977.226074
0.100000,156.355972,5977.226074
0.110000,157.108429,5977.226074
0.120000,157.868744,5977.226074
0.130000,158.620834,5977.226074
0.140000,159.386871,5977.226074
0.150000,160.115005,5977.226074
0.160000,160.788773,5977.226074
0.170000,161.394592,5977.226074
0.180000,161.964294,5977.226074
0.190000,162.452454,5977.226074
0.200000,162.879105,5977.226074
0.210000,163.243896,5977.226074
0.220000,163.538574,5977.226074
0.230000,163.803574,5977.226074
0.240000,164.023880,5977.226074
0.250000,164.187668,5977.226074
0.260000,164.326782,5977.226074
0.270000,164.418701,5977.226074
0.280000,164.509888,5977.226074
0.290000,164.565689,5977.226074
0.300000,164.602524,5977.226074
0.310000,164.636139,5977.226074
0.320000,164.635056,5977.226074
0.330000,164.623611,5977.226074
0.340000,164.618256,5977.226074
0.350000,164.604309,5977.226074
0.360000,164.595367,5977.226074
0.370000,164.563171,5977.226074
0.380000,164.523483,5977.226074
0.390000,164.491302,5977.226074
0.400000,164.450165,5977.226074
0.410000,164.428711,5977.226074
0.420000,164.409393,5977.226074
0.430000,164.365768,5977.226074
0.440000,164.330719,5977.226074
0.450000,164.297455,5977.226074
0.460000,164.254181,5977.226074
0.470000,164.220566,5977.226074
0.480000,164.177292,5977.226074
0.490000,164.133667,5977.226074
0.500000,164.083603,5977.226074
0.510000,164.053558,5977.226074
0.520000,163.998489,5977.226074
0.530000,163.958435,5977.226074
0.540000,163.908005,5977.226074
0.550000,163.870453,5977.226074
0.560000,163.831116,5977.226074
0.570000,163.787842,5977.226074
0.580000,163.740631,5977.226074
0.590000,163.704865,5977.226074
0.600000,163.666245,5977.226074
0.610000,163.625122,5977.226074
0.620000,163.596863,5977.226074
0.630000,163.548584,5977.226074
0.640000,163.523193,5977.226074
0.650000,163.482422,5977.226074
0.660000,163.442017,5977.226074
0.670000,163.395523,5977.226074
0.680000,163.347595,5977.226074
0.690000,163.303970,5977.226074
0.700000,163.257477,5977.226074
0.710000,163.227798,5977.226074
0.720000,163.194534,5977.226074
0.730000,163.165207,5977.226074
0.740000,163.137314,5977.226074
0.750000,163.097977,5977.226074
0.760000,163.063644,5977.226074
0.770000,163.036469,5977.226074
0.780000,162.988190,5977.226074
0.790000,162.936691,5977.226074
