flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220404081804,08:18:04,2022-04-04,PFA-00370,PSA-00387,PSF-00342,401.734100,79.403397,0.802348,0.000000,0.000000,0.000000,0.239217

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,219.734070,5977.226074
0.010000,281.419159,5977.226074
0.020000,306.443451,5977.226074
0.030000,325.280060,5977.226074
0.040000,335.293640,5977.226074
0.050000,340.780029,5977.226074
0.060000,344.335571,5977.226074
0.070000,347.013123,5977.226074
0.080000,349.186768,5977.226074
0.090000,351.115814,5977.226074
0.100000,352.878204,5977.226074
0.110000,354.673492,5977.226074
0.120000,356.481323,5977.226074
0.130000,358.487610,5977.226074
0.140000,360.752106,5977.226074
0.150000,363.393555,5977.226074
0.160000,366.382965,5977.226074
0.170000,369.655609,5977.226074
0.180000,373.120300,5977.226074
0.190000,376.710175,5977.226074
0.200000,380.243530,5977.226074
0.210000,383.627411,5977.226074
0.220000,386.772400,5977.226074
0.230000,389.563690,5977.226074
0.240000,392.008423,5977.226074
0.250000,394.055481,5977.226074
0.260000,395.736694,5977.226074
0.270000,397.116425,5977.226074
0.280000,398.221497,5977.226074
0.290000,399.089813,5977.226074
0.300000,399.771454,5977.226074
0.310000,400.318634,5977.226074
0.320000,400.710571,5977.226074
0.330000,401.015625,5977.226074
0.340000,401.234161,5977.226074
0.350000,401.378265,5977.226074
0.360000,401.479828,5977.226074
0.370000,401.570312,5977.226074
0.380000,401.646851,5977.226074
0.390000,401.676178,5977.226074
0.400000,401.727325,5977.226074
0.410000,401.732697,5977.226074
0.420000,401.734100,5977.226074
0.430000,401.730896,5977.226074
0.440000,401.718384,5977.226074
0.450000,401.668304,5977.226074
0.460000,401.637207,5977.226074
0.470000,401.591431,5977.226074
0.480000,401.548492,5977.226074
0.490000,401.482697,5977.226074
0.500000,401.455536,5977.226074
0.510000,401.401886,5977.226074
0.520000,401.393646,5977.226074
0.530000,401.449799,5977.226074
0.540000,401.485565,5977.226074
0.550000,401.470184,5977.226074
0.560000,401.429779,5977.226074
0.570000,401.364685,5977.226074
0.580000,401.343597,5977.226074
0.590000,401.303894,5977.226074
0.600000,401.284576,5977.226074
0.610000,401.252380,5977.226074
0.620000,401.233795,5977.226074
0.630000,401.188019,5977.226074
0.640000,401.148682,5977.226074
0.650000,401.137238,5977.226074
0.660000,401.085388,5977.226074
0.670000,401.030670,5977.226074
0.680000,400.952332,5977.226074
0.690000,400.866150,5977.226074
0.700000,400.775665,5977.226074
0.710000,400.706635,5977.226074
0.720000,400.665161,5977.226074
0.730000,400.604370,5977.226074
0.740000,400.566803,5977.226074
0.750000,400.507080,5977.226074
0.760000,400.447357,5977.226074
0.770000,400.388733,5977.226074
0.780000,400.344727,5977.226074
0.790000,400.288940,5977.226074
