flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220411081858,08:18:58,2022-04-11,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,282.387604,100.967644,0.642450,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,208.697327,9962.056641,1
0.010000,255.717880,9962.056641,1
0.020000,267.607574,9962.056641,1
0.030000,273.004181,9962.056641,1
0.040000,275.702820,9962.056641,1
0.050000,277.251007,9962.056641,1
0.060000,278.277740,9962.056641,1
0.070000,278.970825,9962.056641,1
0.080000,279.521240,9962.056641,1
0.090000,279.951111,9962.056641,1
0.100000,280.389557,9962.056641,1
0.110000,280.665649,9962.056641,1
0.120000,280.906677,9962.056641,1
0.130000,281.121246,9962.056641,1
0.140000,281.319031,9962.056641,1
0.150000,281.448486,9962.056641,1
0.160000,281.599762,9962.056641,1
0.170000,281.736389,9962.056641,1
0.180000,281.862610,9962.056641,1
0.190000,281.973846,9962.056641,1
0.200000,282.057892,9962.056641,1
0.210000,282.129395,9962.056641,1
0.220000,282.184845,9962.056641,1
0.230000,282.239563,9962.056641,1
0.240000,282.271027,9962.056641,1
0.250000,282.322540,9962.056641,1
0.260000,282.337555,9962.056641,1
0.270000,282.352570,9962.056641,1
0.280000,282.377594,9962.056641,1
0.290000,282.387604,9962.056641,1
0.300000,282.441986,9879.045898,2
0.310000,282.418732,9796.036133,2
0.320000,282.652618,9713.025391,2
0.330000,282.646179,9630.014648,2
0.340000,282.647614,9547.004883,2
0.350000,282.877930,9463.994141,2
0.360000,282.882568,9380.984375,2
0.370000,283.137909,9297.973633,2
0.380000,283.220886,9214.962891,2
0.390000,283.323517,9131.953125,2
0.400000,283.648621,9048.942383,2
0.410000,283.749451,8965.932617,2
0.420000,284.023773,8882.921875,2
0.430000,284.104584,8799.911133,2
0.440000,284.148560,8716.901367,2
0.450000,284.026611,8633.890625,2
0.460000,284.042358,8550.880859,2
0.470000,284.016266,8467.870117,2
0.480000,283.980835,8384.859375,2
0.490000,283.947601,8301.849609,2
0.500000,283.886078,8218.838867,2
0.510000,283.874268,8135.828613,2
0.520000,283.832428,8052.818359,2
0.530000,283.816345,7969.808105,2
0.540000,283.797729,7886.797363,2
0.550000,283.745514,7803.787109,2
0.560000,283.720490,7720.776855,2
0.570000,283.695465,7637.766602,2
0.580000,283.679718,7554.755859,2
0.590000,283.666840,7471.745605,2
0.600000,282.766357,9962.056641,3
0.610000,282.914032,9962.056641,3
0.620000,282.919037,9962.056641,3
0.630000,282.860046,9962.056641,3
0.640000,282.847534,9962.056641,3
0.650000,282.805328,9962.056641,3
0.660000,282.771362,9962.056641,3
0.670000,282.691254,9962.056641,3
0.680000,282.635437,9962.056641,3
0.690000,282.597900,9962.056641,3
0.700000,282.530670,9962.056641,3
0.710000,282.489899,9962.056641,3
0.720000,282.455200,9962.056641,3
0.730000,282.402649,9962.056641,3
0.740000,282.350433,9962.056641,3
0.750000,282.294983,9962.056641,3
0.760000,282.228119,9962.056641,3
0.770000,282.158020,9962.056641,3
0.780000,282.093658,9962.056641,3
0.790000,282.023193,9962.056641,3
0.800000,281.973114,9962.056641,3
0.810000,281.928070,9962.056641,3
0.820000,281.870850,9962.056641,3
0.830000,281.821503,9962.056641,3
0.839999,281.764618,9962.056641,3
0.849999,281.680237,9962.056641,3
0.859999,281.600128,9962.056641,3
0.869999,281.548248,9962.056641,3
0.879999,281.471741,9962.056641,3
0.889999,281.369446,9962.056641,3
