year,month,site,plot_number,treatment,normalized_par,soil_moisture,exotic_cover
2018,4,1,1,no ,0.224836601,8.433333333,22
2018,4,1,2,full ,0.338588885,10.4,48
2018,4,1,3,full ,0.166666667,8.9,63
2018,4,1,4,half ,0.310884354,7.466666667,39.5
2018,4,1,5,half ,0.482198142,8.5,38
2018,4,1,6,no ,0.217563552,8.866666667,43
2018,4,1,7,no ,0.244189853,10.7,25
2018,4,1,8,half ,0.232748538,9.233333333,50
2018,4,1,9,full ,0.450925603,8.4,43
2018,4,1,10,half ,0.422264875,9.4,31.1
2018,4,1,11,no ,0.449269792,8.5,22.45
2018,4,1,12,full ,0.471184632,11.26666667,17
2018,4,1,13,full ,0.233640553,10.6,50.8
2018,4,1,14,no ,0.274364896,10.1,35
2018,4,1,15,half ,0.316526611,10.86666667,20
2018,4,1,16,full ,0.228392081,11.1,42.25
2018,4,1,17,half ,0.23050703,10.96666667,32.5
2018,4,1,18,no ,0.489213894,9.166666667,36
2018,4,2,19,full ,0.258693046,6.866666667,43.5
2018,4,2,20,no ,0.165927802,6.4,33
2018,4,2,21,half ,0.26920713,8.166666667,32
2018,4,2,22,full ,0.256556826,9.7,44.85
2018,4,2,23,half ,0.36627351,10.03333333,28.2
2018,4,2,24,no ,0.477762803,8.966666667,33.2
2018,4,2,25,no ,0.228837209,7.8,25.85
2018,4,2,26,half ,0.510094637,7.066666667,39.75
2018,4,2,27,full ,0.467263743,8.433333333,58.5
2018,4,2,28,half ,0.295419613,6.933333333,44.1
2018,4,2,29,no ,0.533734558,6.375,38.75
2018,4,2,30,full ,0.623453153,7.075,28.125
2018,4,2,31,no ,0.320475731,6.433333333,18.1
2018,4,2,32,half ,0.596728307,8.1,9.5
2018,4,2,33,full ,0.206566347,6.466666667,64.2
2018,4,2,34,half ,0.592139175,7.566666667,18.5
2018,4,2,35,full ,0.497045534,8.666666667,31.1
2018,4,2,36,no ,0.11994989,6.933333333,47.6
2019,1,1,1,no ,0.060736196,16.8,40
2019,1,1,2,full ,0.243571082,25.53333333,43
2019,1,1,3,full ,0.200987654,26.33333333,27
2019,1,1,4,half ,0.320100503,19.43333333,30
2019,1,1,5,half ,0.090159961,23.03333333,57
2019,1,1,6,no ,0.479460094,22.3,40
2019,1,1,7,no ,0.123031496,20.76666667,35
2019,1,1,8,half ,0.135628953,20.26666667,40
2019,1,1,9,full ,0.345712357,23.93333333,44
2019,1,1,10,half ,0.089498807,25.93333333,32
