"","plot_number","location","species","jan_stem_height_cm","jan_volume_cm3","may2019_alive","site","treatment","normalized_par","soil_moisture","exotic_percentcover","year","mafacover"
"1","1","top","CEOL",1.8,3.78357711235087,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"2","1","top","HEAR",8.61,291.485296332982,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"3","1","top","RHOV",2.02,10.1111091414285,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"4","1","top","SAAP",5.12,61.367317974916,0,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"5","1","middle","HEAR",5.98,8.28337975385489,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"6","1","middle","RHOV",0.96,7.9250570261693,0,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"7","1","middle","SAAP",7.32,159.944966241493,0,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"8","1","bottom","CEOL",2.88,7.18032363807992,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"9","1","bottom","HEAR",7.31,169.223655431482,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"10","1","bottom","RHOV",3.02,42.1496553589708,1,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"11","1","bottom","SAAP",1.85,2.31896661724731,0,"1","none",0.0435356200527705,15.5666666666667,40,2019,70
"12","2","top","CEOL",3.69,22.3686502023655,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"13","2","top","HEAR",9.81,392.132014799973,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"14","2","top","RHOV",2.47,7.26311088768731,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"15","2","top","SAAP",6.04,285.754473700138,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"16","2","middle","HEAR",6.25,158.723078336399,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"17","2","middle","RHOV",3.11,16.8040303872673,0,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"18","2","middle","SAAP",3.39,47.9313859299697,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"19","2","bottom","CEOL",2.91,5.94628405260127,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"20","2","bottom","HEAR",5.35,126.074053122022,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"21","2","bottom","RHOV",3.36,25.0984099041999,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"22","2","bottom","SAAP",4.52,127.417535847175,1,"1","full",0.402466731580656,26.7666666666667,43,2019,25
"23","3","top","CEOL",2.21,4.26283702003273,1,"1","full",0.858486867894943,22.5666666666667,27,2019,23
"24","3","top","HEAR",6.81,108.33047761542,1,"1","full",0.858486867894943,22.5666666666667,27,2019,23
"25","3","top","RHOV",2.07,11.0947166685263,1,"1","full",0.858486867894943,22.5666666666667,27,2019,23
"26","3","top","SAAP",6.21,14.1695976021171,1,"1","full",0.858486867894943,22.5666666666667,27,2019,23
