"","plot_number","location","species","jan_stem_height_cm","jan_volume_cm3","may2019_alive","site","treatment","normalized_par","soil_moisture","exotic_percentcover","year","mafacover"
"1","1","top","CEOL",-0.96735337417217,-0.713154392106423,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"2","1","top","HEAR",2.08899712260293,2.77706349003864,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"3","1","top","RHOV",-0.868616647404105,-0.636392718601106,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"4","1","top","SAAP",0.522673593418627,-0.0145843501067579,"0","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"5","1","middle","HEAR",0.908644434421063,-0.658565591983693,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"6","1","middle","RHOV",-1.34434814910478,-0.662912539909952,"0","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"7","1","middle","SAAP",1.51004086109928,1.18129821775501,"0","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"8","1","bottom","CEOL",-0.48264580640167,-0.671947181050023,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"9","1","bottom","HEAR",1.50555282806436,1.29386148995753,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"10","1","bottom","RHOV",-0.419813343912901,-0.247721051190443,"1","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"11","1","bottom","SAAP",-0.94491320899761,-0.730922133481884,"0","1","none",-1.69593270997096,-0.744499197841802,0.0466363577589767,2019,1.88404719255004
"12","2","top","CEOL",-0.119115130573794,-0.487691872746231,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"13","2","top","HEAR",2.62756108679237,3.9980467275539,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"14","2","top","RHOV",-0.666655160833063,-0.670942857753742,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"15","2","top","SAAP",0.935572632630535,2.70754072289378,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"16","2","middle","HEAR",1.02982132636369,1.16647503550956,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"17","2","middle","RHOV",-0.379421046598693,-0.555198370929861,"0","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"18","2","middle","SAAP",-0.253756121621156,-0.177580700679816,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"19","2","bottom","CEOL",-0.469181707296934,-0.686917779905602,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"20","2","bottom","HEAR",0.625898353221604,0.770397417528987,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"21","2","bottom","RHOV",-0.267220220725892,-0.454576129986296,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"22","2","bottom","SAAP",0.253391611323905,0.786695712319802,"1","1","full",-0.0680104682795973,1.71881793512388,0.229773151350706,2019,-0.221743434942377
"23","3","top","CEOL",-0.783344019740776,-0.707340309714014,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"24","3","top","HEAR",1.28115117631876,0.555143422196266,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"25","3","top","RHOV",-0.846176482229545,-0.624460205339145,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"26","3","top","SAAP",1.01186919422404,-0.587157666970734,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"27","3","middle","HEAR",0.500233428244067,-0.11882877875531,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"28","3","middle","RHOV",-1.2411233893018,-0.698574528572941,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"29","3","middle","SAAP",1.34398363880753,0.316016396852518,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"30","3","bottom","CEOL",-1.48347717318705,-0.751789384038516,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"31","3","bottom","HEAR",1.38437593612174,2.01303035444905,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"32","3","bottom","RHOV",-1.18277895984795,-0.657534425245737,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"33","3","bottom","SAAP",-0.163995460922915,0.0283283595881271,"1","1","full",2.0002563905198,0.79507401026175,-0.74695641447185,2019,-0.315334129497595
"34","4","top","CEOL",-0.163995460922915,-0.351691125382578,"0","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
"35","4","top","HEAR",1.17343838348087,0.873269381530301,"1","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
"36","4","top","RHOV",-0.0832108662944981,-0.498583507102152,"1","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
"37","4","top","SAAP",0.0828463559972472,-0.288150933089627,"0","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
"38","4","middle","HEAR",1.21383068079508,0.610406967097829,"1","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
"39","4","middle","RHOV",-0.54996630192535,-0.692559018736389,"0","1","half",-0.493511334979286,-0.0187003997358421,-0.563819620880121,2019,0.62057281605459
