"","timepoint","species","seedlingID","0","1"
"1",0,"CEOL","1_left_CEOL_blue",NA,NA
"2",0,"CEOL","1_left_CEOL_green",NA,NA
"3",0,"CEOL","1_right_CEOL_blue",NA,NA
"4",0,"CEOL","1_right_CEOL_green",NA,NA
"5",0,"CEOL","10_left_CEOL_blue",NA,NA
"6",0,"CEOL","10_left_CEOL_green",NA,NA
"7",0,"CEOL","10_right_CEOL_blue",NA,NA
"8",0,"CEOL","10_right_CEOL_green",NA,NA
"9",0,"CEOL","11_left_CEOL_blue",NA,NA
"10",0,"CEOL","11_left_CEOL_green",NA,NA
"11",0,"CEOL","11_right_CEOL_blue",NA,NA
"12",0,"CEOL","11_right_CEOL_green",NA,NA
"13",0,"CEOL","12_left_CEOL_blue",NA,NA
"14",0,"CEOL","12_left_CEOL_green",NA,NA
"15",0,"CEOL","12_right_CEOL_blue",NA,NA
"16",0,"CEOL","12_right_CEOL_green",NA,NA
"17",0,"CEOL","13_left_CEOL_blue",NA,NA
"18",0,"CEOL","13_left_CEOL_green",NA,NA
"19",0,"CEOL","13_right_CEOL_blue",NA,NA
"20",0,"CEOL","13_right_CEOL_green",NA,NA
"21",0,"CEOL","14_left_CEOL_blue",NA,NA
"22",0,"CEOL","14_left_CEOL_green",NA,NA
"23",0,"CEOL","14_right_CEOL_blue",NA,NA
"24",0,"CEOL","14_right_CEOL_green",NA,NA
"25",0,"CEOL","15_left_CEOL_blue",NA,NA
"26",0,"CEOL","15_left_CEOL_green",NA,NA
"27",0,"CEOL","15_right_CEOL_blue",NA,NA
"28",0,"CEOL","15_right_CEOL_green",NA,NA
"29",0,"CEOL","16_left_CEOL_blue",NA,NA
"30",0,"CEOL","16_left_CEOL_green",NA,NA
"31",0,"CEOL","16_right_CEOL_blue",NA,NA
"32",0,"CEOL","16_right_CEOL_green",NA,NA
"33",0,"CEOL","17_left_CEOL_blue",NA,NA
"34",0,"CEOL","17_left_CEOL_green",NA,NA
"35",0,"CEOL","17_right_CEOL_blue",NA,NA
"36",0,"CEOL","17_right_CEOL_green",NA,NA
"37",0,"CEOL","18_left_CEOL_blue",NA,NA
"38",0,"CEOL","18_left_CEOL_green",NA,NA
"39",0,"CEOL","18_right_CEOL_blue",NA,NA
"40",0,"CEOL","18_right_CEOL_green",NA,NA
"41",0,"CEOL","19_left_CEOL_blue",NA,NA
"42",0,"CEOL","19_left_CEOL_green",NA,NA
"43",0,"CEOL","19_right_CEOL_blue",NA,NA
"44",0,"CEOL","19_right_CEOL_green",NA,NA
"45",0,"CEOL","2_left_CEOL_blue",NA,NA
"46",0,"CEOL","2_left_CEOL_green",NA,NA
"47",0,"CEOL","2_right_CEOL_blue",NA,NA
"48",0,"CEOL","2_right_CEOL_green",NA,NA
"49",0,"CEOL","20_left_CEOL_blue",NA,NA
"50",0,"CEOL","20_left_CEOL_green",NA,NA
"51",0,"CEOL","20_right_CEOL_blue",NA,NA
"52",0,"CEOL","20_right_CEOL_green",NA,NA
"53",0,"CEOL","21_left_CEOL_blue",NA,NA
"54",0,"CEOL","21_left_CEOL_green",NA,NA
"55",0,"CEOL","21_right_CEOL_blue",NA,NA
"56",0,"CEOL","21_right_CEOL_green",NA,NA
