"","timepoint","seedlingID","0","1"
"136",0,"7_right_CEOL_green",NA,NA
"137",0,"8_left_CEOL_blue",NA,NA
"138",0,"8_left_CEOL_green",NA,NA
"139",0,"8_right_CEOL_blue",NA,NA
"140",0,"8_right_CEOL_green",NA,NA
"141",0,"9_left_CEOL_blue",NA,NA
"142",0,"9_left_CEOL_green",NA,NA
"143",0,"9_right_CEOL_blue",NA,NA
"144",0,"9_right_CEOL_green",NA,NA
"145",1,"1_left_CEOL_blue",NA,2.59
"146",1,"1_left_CEOL_green",NA,2.97
"147",1,"1_right_CEOL_blue",NA,1.82
"148",1,"1_right_CEOL_green",NA,1.65
"149",1,"10_left_CEOL_blue",NA,2.95
"150",1,"10_left_CEOL_green",NA,3.53
"151",1,"10_right_CEOL_blue",NA,0.88
"152",1,"10_right_CEOL_green",NA,3.89
"153",1,"11_left_CEOL_blue",NA,1.54
"154",1,"11_left_CEOL_green",NA,1.29
"155",1,"11_right_CEOL_blue",NA,1.12
"156",1,"11_right_CEOL_green",NA,1.98
"157",1,"12_left_CEOL_blue",NA,2.7
"158",1,"12_left_CEOL_green",NA,0.78
"159",1,"12_right_CEOL_blue",NA,1.9
"160",1,"12_right_CEOL_green",NA,1.3
"161",1,"13_left_CEOL_blue",NA,2.34
"162",1,"13_left_CEOL_green",NA,2.28
"163",1,"13_right_CEOL_blue",NA,2
"164",1,"13_right_CEOL_green",1.7,NA
"165",1,"14_left_CEOL_blue",NA,2.5
"166",1,"14_left_CEOL_green",0.5,NA
"167",1,"14_right_CEOL_blue",NA,1.728
"168",1,"14_right_CEOL_green",NA,1.289
"169",1,"15_left_CEOL_blue",NA,0.987
"170",1,"15_left_CEOL_green",NA,2.783
"171",1,"15_right_CEOL_blue",NA,1.65
"172",1,"15_right_CEOL_green",0.55,NA
"173",1,"16_left_CEOL_blue",NA,2.69
"174",1,"16_left_CEOL_green",NA,2.05
"175",1,"16_right_CEOL_blue",NA,2.15
"176",1,"16_right_CEOL_green",NA,2.6
"177",1,"17_left_CEOL_blue",NA,2.72
"178",1,"17_left_CEOL_green",3.1,NA
"179",1,"17_right_CEOL_blue",NA,4
"180",1,"17_right_CEOL_green",NA,2.9
"181",1,"18_left_CEOL_blue",NA,1
"182",1,"18_left_CEOL_green",NA,NA
"183",1,"18_right_CEOL_blue",NA,NA
"184",1,"18_right_CEOL_green",NA,NA
"185",1,"19_left_CEOL_blue",NA,3.86
"186",1,"19_left_CEOL_green",NA,2.32
"187",1,"19_right_CEOL_blue",NA,3
"188",1,"19_right_CEOL_green",NA,3.12
"189",1,"2_left_CEOL_blue",NA,2.74
"190",1,"2_left_CEOL_green",NA,2
"191",1,"2_right_CEOL_blue",NA,2
"192",1,"2_right_CEOL_green",NA,1.3
"193",1,"20_left_CEOL_blue",2.14,NA
"194",1,"20_left_CEOL_green",NA,NA
"195",1,"20_right_CEOL_blue",0.87,NA
"196",1,"20_right_CEOL_green",NA,1.93
"197",1,"21_left_CEOL_blue",NA,NA
"198",1,"21_left_CEOL_green",NA,NA
"199",1,"21_right_CEOL_blue",NA,2.11
"200",1,"21_right_CEOL_green",NA,4.11
"201",1,"22_left_CEOL_blue",NA,2.38
"202",1,"22_left_CEOL_green",3.04,NA
"203",1,"22_right_CEOL_blue",1.63,NA
"204",1,"22_right_CEOL_green",3.36,NA
"205",1,"23_left_CEOL_blue",NA,1.08
"206",1,"23_left_CEOL_green",NA,1.04
"207",1,"23_right_CEOL_blue",NA,NA
"208",1,"23_right_CEOL_green",NA,3.37
"209",1,"24_left_CEOL_blue",1.74,NA
"210",1,"24_left_CEOL_green",NA,NA
"211",1,"24_right_CEOL_blue",2.6,NA
"212",1,"24_right_CEOL_green",0.48,NA
"213",1,"25_left_CEOL_blue",NA,2.87
"214",1,"25_left_CEOL_green",NA,1.98
"215",1,"25_right_CEOL_blue",NA,5.11
"216",1,"25_right_CEOL_green",NA,1.41
"217",1,"26_left_CEOL_blue",NA,2.84
"218",1,"26_left_CEOL_green",NA,1.55
"219",1,"26_right_CEOL_blue",NA,1.77
"220",1,"26_right_CEOL_green",NA,4.19
"221",1,"27_left_CEOL_blue",1.49,NA
"222",1,"27_left_CEOL_green",NA,1.78
"223",1,"27_right_CEOL_blue",NA,1.47
"224",1,"27_right_CEOL_green",NA,1.53
"225",1,"28_left_CEOL_blue",NA,1.59
"226",1,"28_left_CEOL_green",1.52,NA
"227",1,"28_right_CEOL_blue",3.34,NA
"228",1,"28_right_CEOL_green",NA,2.43
