"","seedlingID","0_1","1_0","1_1","2_0","2_1","3_0"
"1","1_left_CEOL_blue",NA,NA,2.59,NA,NA,NA
"2","1_left_CEOL_green",NA,NA,2.97,NA,NA,NA
"3","1_right_CEOL_blue",NA,NA,1.82,NA,1.64,NA
"4","1_right_CEOL_green",NA,NA,1.65,NA,1.173,NA
"5","10_left_CEOL_blue",NA,NA,2.95,NA,2.73,NA
"6","10_left_CEOL_green",NA,NA,3.53,NA,3.83,NA
"7","10_right_CEOL_blue",NA,NA,0.88,NA,1.16,NA
"8","10_right_CEOL_green",NA,NA,3.89,NA,3.07,NA
"9","11_left_CEOL_blue",NA,NA,1.54,NA,NA,NA
"10","11_left_CEOL_green",NA,NA,1.29,NA,NA,NA
"11","11_right_CEOL_blue",NA,NA,1.12,NA,NA,NA
"12","11_right_CEOL_green",NA,NA,1.98,NA,NA,NA
"13","12_left_CEOL_blue",NA,NA,2.7,NA,NA,NA
"14","12_left_CEOL_green",NA,NA,0.78,NA,1.99,NA
"15","12_right_CEOL_blue",NA,NA,1.9,NA,NA,NA
"16","12_right_CEOL_green",NA,NA,1.3,NA,1.22,NA
"17","13_left_CEOL_blue",NA,NA,2.34,NA,NA,NA
"18","13_left_CEOL_green",NA,NA,2.28,NA,NA,NA
"19","13_right_CEOL_blue",NA,NA,2,NA,NA,NA
"20","13_right_CEOL_green",NA,1.7,NA,NA,NA,NA
"21","14_left_CEOL_blue",NA,NA,2.5,NA,3.31,NA
"22","14_left_CEOL_green",NA,0.5,NA,NA,NA,NA
"23","14_right_CEOL_blue",NA,NA,1.728,NA,NA,NA
"24","14_right_CEOL_green",NA,NA,1.289,NA,NA,NA
"25","15_left_CEOL_blue",NA,NA,0.987,NA,1.42,NA
"26","15_left_CEOL_green",NA,NA,2.783,NA,1.84,NA
"27","15_right_CEOL_blue",NA,NA,1.65,NA,0.83,NA
"28","15_right_CEOL_green",NA,0.55,NA,NA,NA,NA
"29","16_left_CEOL_blue",NA,NA,2.69,NA,NA,NA
"30","16_left_CEOL_green",NA,NA,2.05,NA,0.97,NA
"31","16_right_CEOL_blue",NA,NA,2.15,NA,2.36,NA
"32","16_right_CEOL_green",NA,NA,2.6,NA,NA,NA
"33","17_left_CEOL_blue",NA,NA,2.72,NA,2.5,NA
"34","17_left_CEOL_green",NA,3.1,NA,NA,NA,NA
"35","17_right_CEOL_blue",NA,NA,4,NA,NA,NA
"36","17_right_CEOL_green",NA,NA,2.9,NA,NA,NA
