date,time,weather,plot,treatment,weeding,reading#,ambient_PAR_1,below_PAR_1,Avgerage_PAR_ambient,STDV_ambient,SQRT_ambient,STDERROR_ambient,Avgerage_PAR_below,STDV_below,SQRT_below,STDERROR_below,Notes,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH01,,no removal,1,1451,351,,,,,,,,,"ENH PAR collected on April 26, 2018 by Katie Nigro",,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH01,,no removal,2,1609,337,1530,111.7228714,1.414213562,79,344,9.899494937,1.414213562,7,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH02,,full removal,1,1264,422,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH02,,full removal,2,1273,437,1268.5,6.363961031,1.414213562,4.5,429.5,10.60660172,1.414213562,7.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH03,,full removal,1,1068,155,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH03,,full removal,2,1116,209,1092,33.9411255,1.414213562,24,182,38.18376618,1.414213562,27,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH04,,half removal,1,1388,449,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH04,,half removal,2,1552,465,1470,115.9655121,1.414213562,82,457,11.3137085,1.414213562,8,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH05,,half removal,1,1176,527,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH05,,half removal,2,1408,719,1292,164.0487732,1.414213562,116,623,135.764502,1.414213562,96,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH06,,no removal,1,1477,251,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH06,,no removal,2,1552,408,1514.5,53.03300859,1.414213562,37.5,329.5,111.0157646,1.414213562,78.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH07,,no removal,1,1552,389,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH07,,no removal,2,1503,357,1527.5,34.64823228,1.414213562,24.5,373,22.627417,1.414213562,16,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH08,,half removal,1,764,185,,,,,,,,,,,,,,,,,,,,,,,
