date,plot_number,MAFA_removal,location,species,individual,stem_height_cm,width_1_cm,width_2_cm,condition,alive,dead,notes
1/30/18,1,none,right,CEOL,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,CEOL,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,HEAR,S,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,HEAR,C,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,HEAR,R,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,RHOV,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,RHOV,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,SAAP,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,right,SAAP,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,CEOL,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,CEOL,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,HEAR,S,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,HEAR,C,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,HEAR,R,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,RHOV,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,RHOV,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,SAAP,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,1,none,left,SAAP,blue,NA,NA,NA,NA,1,NA,"planted 2018, unknown initlal measurements"
2/24/18,1,none,right,CEOL,green,1.65,1.75,0.6,NA,1,NA,soil erosion at site; good
2/24/18,1,none,right,CEOL,blue,1.82,2.22,0.95,NA,1,NA,soil erosion at site
2/24/18,1,none,right,HEAR,S,4.61,6.61,1.73,NA,1,NA,soil erosion at site
2/24/18,1,none,right,HEAR,C,9.36,9.44,6.11,NA,1,NA,soil erosion at site; good
2/24/18,1,none,right,HEAR,R,3.96,6.73,5.02,NA,1,NA,soil erosion at site
2/24/18,1,none,right,RHOV,green,2.88,3.24,2.47,NA,1,NA,soil erosion at site; crispy
2/24/18,1,none,right,RHOV,blue,2.9,2.93,0.64,NA,1,NA,soil erosion at site; crispy
2/24/18,1,none,right,SAAP,green,1.4,2.5,1.31,NA,1,NA,soil erosion at site
2/24/18,1,none,right,SAAP,blue,0.58,1.66,0.66,NA,1,NA,soil erosion at site
2/24/18,1,none,left,CEOL,green,2.97,1.17,1.1,NA,1,NA,wilted
2/24/18,1,none,left,CEOL,blue,2.59,1.47,1.25,NA,1,NA,NA
2/24/18,1,none,left,HEAR,S,6.73,8.36,6.56,NA,1,NA,crispy; herbivory
2/24/18,1,none,left,HEAR,C,7.15,6.71,4.8,NA,1,NA,good
2/24/18,1,none,left,HEAR,R,7.92,8.49,5.84,NA,1,NA,good; herbivory
2/24/18,1,none,left,RHOV,green,4.02,1.6,1.27,NA,1,NA,wilted
2/24/18,1,none,left,RHOV,blue,1.35,2.44,2.1,NA,1,NA,NA
2/24/18,1,none,left,SAAP,green,2,0.5,0.44,NA,1,NA,NA
2/24/18,1,none,left,SAAP,blue,0.2,1.65,0.2,NA,1,NA,"crispy, top was broken by soil clod"
5/26/18,1,none,left,SAAP,green,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,SAAP,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,RHOV,green,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,RHOV,blue,1.15,2.97,0.71,NA,1,NA,NA
5/26/18,1,none,left,CEOL,green,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,CEOL,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,HEAR,s,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,HEAR,c,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,left,HEAR,r,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,right,SAAP,green,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,right,SAAP,blue,0.53,0.924,0.1,NA,1,NA,half crisp
5/26/18,1,none,right,RHOV,green,2.75,1.48,0.39,NA,1,NA,half okay
5/26/18,1,none,right,RHOV,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,right,CEOL,green,1.173,1.563,0.8,NA,1,NA,NA
