date,month,year,timepoint,plot_number,MAFA_removal,location,species,individual,stem_height_cm,width_1_cm,width_2_cm,condition,alive,dead,notes
1/30/18,1,2018,0,1,none,right,CEOL,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,CEOL,blue,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,HEAR,S,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,HEAR,C,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,HEAR,R,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,RHOV,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,RHOV,blue,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,SAAP,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,right,SAAP,blue,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,CEOL,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,CEOL,blue,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,HEAR,S,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,HEAR,C,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,HEAR,R,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,RHOV,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,RHOV,blue,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,SAAP,green,,,,,1,0,planted 2018
1/30/18,1,2018,0,1,none,left,SAAP,blue,,,,,1,0,"planted 2018, unknown initlal measurements"
2/24/18,2,2018,1,1,none,right,CEOL,green,1.65,1.75,0.6,,1,0,soil erosion at site; good
2/24/18,2,2018,1,1,none,right,CEOL,blue,1.82,2.22,0.95,,1,0,soil erosion at site
2/24/18,2,2018,1,1,none,right,HEAR,S,4.61,6.61,1.73,,1,0,soil erosion at site
2/24/18,2,2018,1,1,none,right,HEAR,C,9.36,9.44,6.11,,1,0,soil erosion at site; good
2/24/18,2,2018,1,1,none,right,HEAR,R,3.96,6.73,5.02,,1,0,soil erosion at site
2/24/18,2,2018,1,1,none,right,RHOV,green,2.88,3.24,2.47,,1,0,soil erosion at site; crispy
2/24/18,2,2018,1,1,none,right,RHOV,blue,2.9,2.93,0.64,,1,0,soil erosion at site; crispy
2/24/18,2,2018,1,1,none,right,SAAP,green,1.4,2.5,1.31,,1,0,soil erosion at site
2/24/18,2,2018,1,1,none,right,SAAP,blue,0.58,1.66,0.66,,1,0,soil erosion at site
2/24/18,2,2018,1,1,none,left,CEOL,green,2.97,1.17,1.1,,1,0,wilted
2/24/18,2,2018,1,1,none,left,CEOL,blue,2.59,1.47,1.25,,1,0,NA
2/24/18,2,2018,1,1,none,left,HEAR,S,6.73,8.36,6.56,,1,0,crispy; herbivory
2/24/18,2,2018,1,1,none,left,HEAR,C,7.15,6.71,4.8,,1,0,good
2/24/18,2,2018,1,1,none,left,HEAR,R,7.92,8.49,5.84,,1,0,good; herbivory
2/24/18,2,2018,1,1,none,left,RHOV,green,4.02,1.6,1.27,,1,0,wilted
2/24/18,2,2018,1,1,none,left,RHOV,blue,1.35,2.44,2.1,,1,0,NA
2/24/18,2,2018,1,1,none,left,SAAP,green,2,0.5,0.44,,1,0,NA
2/24/18,2,2018,1,1,none,left,SAAP,blue,0.2,1.65,0.2,,1,0,"crispy, top was broken by soil clod"
5/26/18,5,2018,2,1,none,left,SAAP,green,,,,,0,1,NA
5/26/18,5,2018,2,1,none,left,SAAP,blue,,,,,0,1,NA
