species,seedlingID,march_deadH,march_aliveH,ID,may_deadH,may_aliveH,aliveinmarch,aliveinmay,
CEOL,26_left_CEOL_green,,1.55,1370,1.39,,Y,N,
RHOV,5_right_RHOV_blue,,1.56,1783,,,Y,N,
SAAP,9_right_SAAP_blue,,1.56,1943,,,Y,N,
RHOV,2_left_RHOV_green,,1.57,1702,,,Y,N,
RHOV,12_left_RHOV_blue,,1.58,1669,,1.38,Y,Y,
CEOL,28_left_CEOL_blue,,1.59,1377,2.14,,Y,N,
CEOL,5_left_CEOL_blue,,1.6,1421,,2.456,Y,Y,
CEOL,8_left_CEOL_blue,,1.6,1433,,,Y,N,
RHOV,13_right_RHOV_green,,1.6,1676,,1.3,Y,Y,
RHOV,26_left_RHOV_green,,1.6,1730,1.53,,Y,N,
SAAP,4_left_SAAP_green,,1.6,1922,,3.31,Y,Y,
RHOV,5_left_RHOV_blue,,1.61,1781,,,Y,N,
RHOV,6_right_RHOV_blue,,1.61,1787,,1.26,Y,Y,
CEOL,1_right_CEOL_green,,1.65,1300,,1.173,Y,Y,
CEOL,15_right_CEOL_blue,,1.65,1323,,0.83,Y,Y,
CEOL,33_right_CEOL_blue,,1.67,1403,,4.677,Y,Y,
SAAP,24_left_SAAP_green,,1.69,1866,1.52,,Y,N,
CEOL,5_right_CEOL_green,,1.7,1424,,,Y,N,
RHOV,16_right_RHOV_blue,,1.7,1687,,0.812,Y,Y,
RHOV,31_left_RHOV_blue,,1.71,1753,,,Y,N,
RHOV,6_right_RHOV_green,,1.72,1788,,0.79,Y,Y,
CEOL,14_right_CEOL_blue,,1.728,1319,,,Y,N,
RHOV,30_right_RHOV_green,,1.73,1752,,,Y,N,
CEOL,26_right_CEOL_blue,,1.77,1371,1,,Y,N,
CEOL,27_left_CEOL_green,,1.78,1374,1.82,,Y,N,
CEOL,7_right_CEOL_green,,1.79,1432,,,Y,N,
RHOV,16_right_RHOV_green,,1.8,1688,,,Y,N,
RHOV,26_right_RHOV_blue,,1.8,1731,1.26,,Y,N,
RHOV,26_right_RHOV_green,,1.8,1732,,2.1,Y,Y,
SAAP,3_right_SAAP_blue,,1.8,1891,,,Y,N,
CEOL,1_right_CEOL_blue,,1.82,1299,,1.64,Y,Y,
RHOV,19_left_RHOV_blue,,1.82,1697,,,Y,N,
CEOL,34_left_CEOL_green,,1.84,1406,,,Y,N,
RHOV,21_right_RHOV_blue,,1.86,1711,2.165,,Y,N,
SAAP,4_right_SAAP_blue,,1.88,1923,,2.05,Y,Y,
CEOL,12_right_CEOL_blue,,1.9,1311,,,Y,N,
CEOL,4_right_CEOL_green,,1.9,1420,,1.99,Y,Y,
RHOV,2_right_RHOV_blue,,1.9,1703,,,Y,N,
SAAP,15_right_SAAP_green,,1.9,1828,,,Y,N,
CEOL,33_right_CEOL_green,,1.91,1404,,2.625,Y,Y,
CEOL,9_left_CEOL_green,,1.92,1438,,0.815,Y,Y,
CEOL,20_right_CEOL_green,,1.93,1348,,,Y,N,
RHOV,28_right_RHOV_green,,1.93,1740,0.91,,Y,N,
RHOV,11_right_RHOV_blue,,1.95,1667,,,Y,N,
CEOL,30_left_CEOL_green,,1.97,1390,,,Y,N,
RHOV,29_right_RHOV_blue,,1.97,1743,0.91,,Y,N,
SAAP,27_left_SAAP_blue,,1.97,1877,2.48,,Y,N,
CEOL,11_right_CEOL_green,,1.98,1308,,,Y,N,
CEOL,25_left_CEOL_green,,1.98,1366,,,Y,N,
RHOV,23_right_RHOV_green,,1.98,1720,,,Y,N,
CEOL,5_right_CEOL_blue,,1.99,1423,,1.33,Y,Y,
CEOL,13_right_CEOL_blue,,2,1315,,,Y,N,
CEOL,2_left_CEOL_green,,2,1342,,,Y,N,
CEOL,2_right_CEOL_blue,,2,1343,,,Y,N,
RHOV,21_left_RHOV_green,,2,1710,,3.133,Y,Y,
RHOV,36_left_RHOV_green,,2,1774,,,Y,N,
SAAP,1_left_SAAP_green,,2,1802,,,Y,N,
RHOV,25_right_RHOV_blue,,2.02,1727,,,Y,N,
RHOV,36_right_RHOV_blue,,2.02,1775,,,Y,N,
SAAP,23_left_SAAP_green,,2.02,1862,,,Y,N,
RHOV,8_right_RHOV_green,,2.04,1796,,,Y,N,
CEOL,16_left_CEOL_green,,2.05,1326,,0.97,Y,Y,
RHOV,33_left_RHOV_blue,,2.07,1761,,,Y,N,
SAAP,2_left_SAAP_green,,2.07,1846,,2.78,Y,Y,
CEOL,31_right_CEOL_blue,,2.08,1395,,,Y,N,
CEOL,34_left_CEOL_blue,,2.08,1405,,,Y,N,
CEOL,30_left_CEOL_blue,,2.09,1389,,3.56,Y,Y,
RHOV,23_left_RHOV_blue,,2.09,1717,,,Y,N,
CEOL,21_right_CEOL_blue,,2.11,1351,,,Y,N,
CEOL,35_right_CEOL_blue,,2.12,1411,,2.129,Y,Y,
CEOL,9_right_CEOL_green,,2.12,1440,,,Y,N,
CEOL,16_right_CEOL_blue,,2.15,1327,,2.36,Y,Y,
CEOL,3_left_CEOL_blue,,2.15,1385,,,Y,N,
CEOL,8_right_CEOL_green,,2.15,1436,,,Y,N,
SAAP,8_left_SAAP_green,,2.15,1938,,1.86,Y,Y,
SAAP,24_right_SAAP_blue,,2.16,1867,1.7,,Y,N,
HEAR,7_left_HEAR_R,,2.18,1640,,,Y,N,
SAAP,10_right_SAAP_green,,2.18,1808,,2.59,Y,Y,
SAAP,14_right_SAAP_green,,2.186,1824,,,Y,N,
RHOV,3_right_RHOV_blue,,2.2,1747,,,Y,N,
SAAP,2_right_SAAP_green,,2.2,1848,,,Y,N,
SAAP,9_left_SAAP_green,,2.2,1942,,,Y,N,
HEAR,18_right_HEAR_C1,,2.203,1498,,,Y,N,
CEOL,31_left_CEOL_green,,2.22,1394,,,Y,N,
RHOV,3_left_RHOV_blue,,2.22,1745,,,Y,N,
RHOV,8_right_RHOV_blue,,2.22,1795,,0.99,Y,Y,
RHOV,23_right_RHOV_blue,,2.23,1719,,,Y,N,
RHOV,30_left_RHOV_blue,,2.24,1749,,,Y,N,
CEOL,8_left_CEOL_green,,2.25,1434,,,Y,N,
RHOV,22_left_RHOV_green,,2.26,1714,,,Y,N,
HEAR,30_left_HEAR_C,,2.27,1579,1.93,,Y,N,
CEOL,13_left_CEOL_green,,2.28,1314,,,Y,N,
RHOV,7_right_RHOV_green,,2.28,1792,,1.07,Y,Y,
CEOL,7_left_CEOL_green,,2.3,1430,,0.53,Y,Y,
RHOV,14_left_RHOV_green,,2.3,1678,,,Y,N,
RHOV,27_left_RHOV_blue,,2.3,1733,1.86,,Y,N,
SAAP,18_left_SAAP_green,,2.3,1838,,,Y,N,
RHOV,10_left_RHOV_green,,2.31,1662,,,Y,N,
RHOV,21_left_RHOV_blue,,2.31,1709,1.94,,Y,N,
CEOL,19_left_CEOL_green,,2.32,1338,,,Y,N,
CEOL,34_right_CEOL_blue,,2.32,1407,,3.65,Y,Y,
CEOL,6_left_CEOL_blue,,2.32,1425,,,Y,N,
RHOV,11_left_RHOV_blue,,2.321,1665,,,Y,N,
RHOV,9_right_RHOV_green,,2.33,1800,,,Y,N,
CEOL,13_left_CEOL_blue,,2.34,1313,,,Y,N,
SAAP,18_right_SAAP_green,,2.347,1840,,,Y,N,
RHOV,33_right_RHOV_green,,2.36,1764,,,Y,N,
SAAP,12_left_SAAP_green,,2.36,1814,,13.39,Y,Y,
CEOL,22_left_CEOL_blue,,2.38,1353,1,,Y,N,
SAAP,29_right_SAAP_green,,2.39,1888,3.15,,Y,N,
CEOL,36_left_CEOL_green,,2.4,1414,,,Y,N,
SAAP,4_left_SAAP_blue,,2.4,1921,,,Y,N,
SAAP,18_right_SAAP_blue,,2.417,1839,,,Y,N,
CEOL,28_right_CEOL_green,,2.43,1380,,,Y,N,
CEOL,32_left_CEOL_blue,,2.45,1397,,,Y,N,
RHOV,10_left_RHOV_blue,,2.45,1661,,1.98,Y,Y,
RHOV,24_right_RHOV_blue,,2.45,1723,,1.7,Y,Y,
RHOV,27_left_RHOV_green,,2.46,1734,,,Y,N,
HEAR,5_left_HEAR_S,,2.48,1629,3.94,,Y,N,
RHOV,4_right_RHOV_blue,,2.49,1779,,,Y,N,
CEOL,14_left_CEOL_blue,,2.5,1317,,3.31,Y,Y,
CEOL,31_left_CEOL_blue,,2.5,1393,,,Y,N,
HEAR,5_right_HEAR_R,,2.5,1631,,6.35,Y,Y,
RHOV,17_right_RHOV_green,,2.5,1692,,,Y,N,
SAAP,22_right_SAAP_blue,,2.5,1859,4.1,,Y,N,
CEOL,30_right_CEOL_green,,2.51,1392,,,Y,N,
RHOV,17_left_RHOV_green,,2.52,1690,,,Y,N,
SAAP,11_left_SAAP_green,,2.54,1810,,0.64,Y,Y,
HEAR,26_left_HEAR_C2,,2.58,1550,3.69,,Y,N,
CEOL,1_left_CEOL_blue,,2.59,1297,,,Y,N,
CEOL,7_right_CEOL_blue,,2.59,1431,,,Y,N,
RHOV,19_right_RHOV_green,,2.59,1700,,2.42,Y,Y,
SAAP,33_right_SAAP_blue,,2.59,1907,,,Y,N,
CEOL,16_right_CEOL_green,,2.6,1328,,,Y,N,
HEAR,18_left_HEAR_R,,2.6,1496,,1.97,Y,Y,
RHOV,13_left_RHOV_blue,,2.6,1673,,,Y,N,
RHOV,4_left_RHOV_blue,,2.6,1777,,1.67,Y,Y,
RHOV,9_left_RHOV_green,,2.6,1798,,,Y,N,
RHOV,9_right_RHOV_blue,,2.64,1799,,,Y,N,
SAAP,30_right_SAAP_blue,,2.64,1895,2.14,,Y,N,
CEOL,4_left_CEOL_green,,2.65,1418,,1.36,Y,Y,
RHOV,20_left_RHOV_green,,2.66,1706,,,Y,N,
RHOV,27_right_RHOV_green,,2.66,1736,2.62,,Y,N,
CEOL,33_left_CEOL_blue,,2.67,1401,,3.26,Y,Y,
CEOL,16_left_CEOL_blue,,2.69,1325,,,Y,N,
RHOV,26_left_RHOV_blue,,2.69,1729,1.7,,Y,N,
CEOL,12_left_CEOL_blue,,2.7,1309,,,Y,N,
CEOL,4_left_CEOL_blue,,2.7,1417,,,Y,N,
SAAP,14_left_SAAP_blue (old),,2.7,1821,,,Y,N,
RHOV,10_right_RHOV_green,,2.71,1664,,0.843,Y,Y,
CEOL,17_left_CEOL_blue,,2.72,1329,,2.5,Y,Y,
CEOL,2_left_CEOL_blue,,2.74,1341,,2.01,Y,Y,
RHOV,22_left_RHOV_blue,,2.74,1713,,,Y,N,
CEOL,15_left_CEOL_green,,2.783,1322,,1.84,Y,Y,
RHOV,10_right_RHOV_blue,,2.79,1663,,1.48,Y,Y,
SAAP,27_right_SAAP_blue,,2.79,1879,,2.86,Y,Y,
SAAP,5_right_SAAP_blue,,2.79,1927,,2.72,Y,Y,
RHOV,12_right_RHOV_green,,2.8,1672,,1.73,Y,Y,
HEAR,26_left_HEAR_C,,2.82,1549,4.68,,Y,N,
HEAR,2_left_HEAR_C,,2.83,1507,,2.01,Y,Y,
CEOL,26_left_CEOL_blue,,2.84,1369,1.32,,Y,N,
SAAP,17_left_SAAP_blue (old 2016),,2.84,1833,,2.2,Y,Y,
CEOL,25_left_CEOL_blue,,2.87,1365,,,Y,N,
HEAR,4_right_HEAR_S,,2.87,1626,,,Y,N,
RHOV,1_right_RHOV_green,,2.88,1660,,2.75,Y,Y,
CEOL,17_right_CEOL_green,,2.9,1332,,,Y,N,
RHOV,1_right_RHOV_blue,,2.9,1659,,,Y,N,
RHOV,14_left_RHOV_blue,,2.9,1677,,,Y,N,
