species,seedlingID,march_deadH,march_aliveH,ID,may_deadH,may_aliveH,aliveinmarch,aliveinmay,
HEAR,13_left_HEAR_C1,,7.08,1465,,,Y,N,
HEAR,4_right_HEAR_C,,7.09,1624,,6.21,Y,Y,
HEAR,13_right_HEAR_C2,,7.1,1469,,,Y,N,
HEAR,9_left_HEAR_C2,,7.1,1652,,2.1,Y,Y,
HEAR,7_right_HEAR_C,,7.13,1642,3.72,,Y,N,
HEAR,1_left_HEAR_C,,7.15,1441,,,Y,N,
HEAR,17_left_HEAR_C1,,7.18,1489,,,Y,N,
HEAR,15_left_HEAR_S,,7.213,1479,,,Y,N,
HEAR,6_left_HEAR_C,,7.22,1633,,4.356,Y,Y,
HEAR,21_right_HEAR_S2,,7.24,1524,,8.75,Y,Y,
HEAR,10_left_HEAR_C2,,7.32,1448,,6.63,Y,Y,
HEAR,25_left_HEAR_S,,7.32,1545,,7.022,Y,Y,
HEAR,6_right_HEAR_S,,7.33,1638,,5.58,Y,Y,
HEAR,16_left_HEAR_C2,,7.38,1484,,,Y,N,
HEAR,14_right_HEAR_C1,,7.411,1474,,,Y,N,
HEAR,4_left_HEAR_C,,7.5,1621,,5.35,Y,Y,
HEAR,8_left_HEAR_C2,,7.5,1646,,,Y,N,
SAAP,11_right_SAAP_green,,7.5,1812,,1,Y,Y,
HEAR,11_left_HEAR_C2,,7.54,1454,,,Y,N,
HEAR,14_right_HEAR_C2,,7.575,1475,,,Y,N,
HEAR,5_left_HEAR_C,,7.61,1627,6.98,,Y,N,
HEAR,30_left_HEAR_S,,7.63,1581,8.13,,Y,N,
HEAR,28_left_HEAR_C2,,7.68,1562,5.27,,Y,N,
HEAR,23_right_HEAR_S,,7.73,1536,,7.277,Y,Y,
HEAR,35_right_HEAR_C,,7.73,1612,6.918,,Y,N,
HEAR,33_right_HEAR_S2,,7.76,1602,5.77,,Y,N,
HEAR,25_right_HEAR_S,,7.78,1548,,8.43,Y,Y,
HEAR,16_right_HEAR_C2,,7.8,1487,,,Y,N,
HEAR,17_right_HEAR_S,,7.8,1494,,8.18,Y,Y,
HEAR,20_right_HEAR_S2,,7.85,1518,,6.55,Y,Y,
HEAR,17_left_HEAR_C2,,7.86,1490,,,Y,N,
HEAR,1_left_HEAR_R,,7.92,1442,,,Y,N,
HEAR,15_left_HEAR_C2,,7.93,1478,,,Y,N,
HEAR,13_right_HEAR_C1,,8,1468,,,Y,N,
HEAR,34_left_HEAR_S1,,8,1604,8.415,,Y,N,
HEAR,23_left_HEAR_S2,,8.01,1533,,7.823,Y,Y,
HEAR,15_left_HEAR_C1,,8.03,1477,,,Y,N,
HEAR,33_left_HEAR_C,,8.05,1597,6.9,,Y,N,
HEAR,30_left_HEAR_R,,8.1,1580,,,Y,N,
HEAR,4_right_HEAR_R,,8.1,1625,,,Y,N,
HEAR,24_right_HEAR_R,,8.16,1541,6.5,,Y,N,
HEAR,25_left_HEAR_R,,8.16,1544,,7.406,Y,Y,
HEAR,34_left_HEAR_C,,8.2,1603,4.93,,Y,N,
HEAR,20_left_HEAR_S1,,8.31,1513,,11.8,Y,Y,
HEAR,17_right_HEAR_C1,,8.4,1492,,,Y,N,
HEAR,31_right_HEAR_R,,8.42,1589,,4.02,Y,Y,
HEAR,20_left_HEAR_S3,,8.53,1515,,10,Y,Y,
HEAR,2_right_HEAR_S,,8.7,1512,,2.97,Y,Y,
HEAR,30_right_HEAR_R,,8.79,1583,9.66,,Y,N,
HEAR,22_right_HEAR_R,,9.12,1529,,3.5,Y,Y,
HEAR,11_right_HEAR_S,,9.2,1458,,,Y,N,
HEAR,36_left_HEAR_R,,9.32,1616,,9.068,Y,Y,
HEAR,1_right_HEAR_C,,9.36,1444,,,Y,N,
HEAR,27_right_HEAR_R,,9.37,1559,,9.51,Y,Y,
HEAR,13_right_HEAR_S,,9.4,1470,,7.68,Y,Y,
HEAR,22_right_HEAR_S,,9.4,1530,,4.7,Y,Y,
HEAR,7_left_HEAR_S,,9.59,1641,,,Y,N,
HEAR,10_right_HEAR_C1,,9.63,1450,,9.41,Y,Y,
HEAR,23_right_HEAR_C,,9.63,1534,,,Y,N,
HEAR,2_left_HEAR_S,,9.67,1509,,8.77,Y,Y,
HEAR,13_left_HEAR_S,,9.69,1467,,7.04,Y,Y,
HEAR,33_left_HEAR_S,,9.72,1599,8.53,,Y,N,
HEAR,9_left_HEAR_S,,9.81,1653,,9.35,Y,Y,
HEAR,9_right_HEAR_S,,9.81,1656,,7.65,Y,Y,
HEAR,30_right_HEAR_C,,9.94,1582,6.64,,Y,N,
HEAR,14_left_HEAR_S,,10,1473,,,Y,N,
HEAR,5_right_HEAR_C,,10.24,1630,9.58,,Y,N,
HEAR,36_right_HEAR_C,,10.34,1618,9.9,,Y,N,
HEAR,22_right_HEAR_C,,10.59,1528,5.3,,Y,N,
HEAR,20_right_HEAR_C,,10.71,1516,6.2,,Y,N,
HEAR,33_right_HEAR_S,,11,1601,10.78,,Y,N,
HEAR,4_left_HEAR_S,,11,1623,,6.57,Y,Y,
HEAR,23_left_HEAR_S1,,11.03,1532,,10,Y,Y,
HEAR,20_left_HEAR_S2,,11.16,1514,7.2,,Y,N,
HEAR,29_right_HEAR_S2,,11.61,1572,12.04,,Y,N,
HEAR,36_right_HEAR_S,,11.8,1620,,13.11,Y,Y,
HEAR,6_left_HEAR_S,,11.92,1635,,11.8,Y,Y,
HEAR,15_right_HEAR_C1,,12.05,1480,,,Y,N,
HEAR,7_left_HEAR_C,,12.23,1639,,5.25,Y,Y,
HEAR,34_right_HEAR_S,,12.32,1608,,11.51,Y,Y,
HEAR,30_right_HEAR_S,,12.58,1584,9.06,,Y,N,
HEAR,32_left_HEAR_S,,12.89,1593,,14.985,Y,Y,
HEAR,5_right_HEAR_S,,13.01,1632,10.28,,Y,N,
HEAR,10_right_HEAR_C2,,13.42,1451,,11.7,Y,Y,
HEAR,14_right_HEAR_S,,13.754,1476,,1.47,Y,Y,
HEAR,29_right_HEAR_S1,,14.55,1571,15.1,,Y,N,
HEAR,18_right_HEAR_S,,14.861,1500,,,Y,N,
CEOL,13_right_CEOL_green,1.7,,1316,,,,,
CEOL,14_left_CEOL_green,0.5,,1318,,,,,
CEOL,15_right_CEOL_green,0.55,,1324,,,,,
CEOL,17_left_CEOL_green,3.1,,1330,,,,,
CEOL,18_left_CEOL_green,,,1334,,,,,
CEOL,18_right_CEOL_blue,,,1335,,,,,
CEOL,18_right_CEOL_green,,,1336,,,,,
CEOL,20_left_CEOL_blue,2.14,,1345,,,,,
CEOL,20_left_CEOL_green,,,1346,,,,,
CEOL,20_right_CEOL_blue,0.87,,1347,,,,,
CEOL,21_left_CEOL_blue,,,1349,,,,,
CEOL,21_left_CEOL_green,,,1350,,,,,
CEOL,22_left_CEOL_green,3.04,,1354,1.8,,,,
CEOL,22_right_CEOL_blue,1.63,,1355,1.7,,,,
CEOL,22_right_CEOL_green,3.36,,1356,2.8,,,,
CEOL,23_right_CEOL_blue,,,1359,,,,,
CEOL,24_left_CEOL_blue,1.74,,1361,,,,,
CEOL,24_left_CEOL_green,,,1362,,,,,
CEOL,24_right_CEOL_blue,2.6,,1363,,,,,
CEOL,24_right_CEOL_green,0.48,,1364,,,,,
CEOL,27_left_CEOL_blue,1.49,,1373,,,,,
CEOL,28_left_CEOL_green,1.52,,1378,2.9,,,,
CEOL,28_right_CEOL_blue,3.34,,1379,1.53,,,,
CEOL,29_left_CEOL_blue,,,1381,,,,,
CEOL,29_left_CEOL_green,,,1382,,,,,
CEOL,29_right_CEOL_blue,1.57,,1383,,,,,
CEOL,29_right_CEOL_green,1,,1384,,,,,
CEOL,30_right_CEOL_blue,2.51,,1391,,,,,
CEOL,31_right_CEOL_green,,,1396,,,,,
CEOL,32_left_CEOL_green,,,1398,,,,,
CEOL,32_right_CEOL_blue,2,,1399,,,,,
CEOL,32_right_CEOL_green,,,1400,,,,,
CEOL,34_right_CEOL_green,1.11,,1408,,,,,
CEOL,35_left_CEOL_green,2.46,,1410,,,,,
CEOL,36_left_CEOL_blue,,,1413,,,,,
CEOL,6_left_CEOL_green,1.12,,1426,,,,,
HEAR,18_left_HEAR_S,1.3,,1497,,,,,
HEAR,19_left_HEAR_C,8.49,,1501,7.63,,,,
HEAR,19_left_HEAR_S1,5.17,,1502,,,,,
HEAR,19_right_HEAR_C,3.22,,1504,,,,,
HEAR,19_right_HEAR_S,9.04,,1505,,6.76,,,
HEAR,23_left_HEAR_C,5.06,,1531,,3.815,,,
HEAR,24_left_HEAR_S,,,1538,,8.5,,,
HEAR,25_right_HEAR_C1,4.14,,1546,,4.6,,,
HEAR,27_left_HEAR_S,8.52,,1557,9.22,,,,
HEAR,27_right_HEAR_S,3.5,,1560,,3.02,,,
HEAR,28_left_HEAR_S,3.46,,1563,6.2,,,,
HEAR,28_right_HEAR_S,7.43,,1566,2.3,,,,
HEAR,31_left_HEAR_S,1.41,,1587,8.4,,,,
HEAR,32_right_HEAR_C,5.02,,1594,,,,,
HEAR,32_right_HEAR_S,6.95,,1596,,6.324,,,
HEAR,33_right_HEAR_C,2.86,,1600,,,,,
HEAR,35_left_HEAR_C,5.49,,1609,,4.903,,,
HEAR,35_left_HEAR_R,3.03,,1610,,2.709,,,
HEAR,35_left_HEAR_S,7.16,,1611,,6.728,,,
RHOV,16_left_RHOV_green,0.56,,1686,,,,,
RHOV,18_left_RHOV_blue,0.8,,1693,,,,,
RHOV,19_left_RHOV_green,3.16,,1698,,,,,
RHOV,20_right_RHOV_blue,1.04,,1707,,,,,
RHOV,20_right_RHOV_green,,,1708,,,,,
RHOV,24_left_RHOV_blue,1.48,,1721,1.37,,,,
RHOV,24_right_RHOV_green,2.14,,1724,2.9,,,,
RHOV,25_left_RHOV_blue,1.3,,1725,,,,,
RHOV,25_left_RHOV_green,1.88,,1726,,,,,
RHOV,28_left_RHOV_blue,0.59,,1737,,,,,
RHOV,28_right_RHOV_blue,,,1739,0.01,,,,
RHOV,29_left_RHOV_green,,,1742,,,,,
RHOV,29_right_RHOV_green,2.15,,1744,3.31,,,,
RHOV,3_left_RHOV_green,2.32,,1746,2.07,,,,
RHOV,30_right_RHOV_blue,1.34,,1751,,,,,
RHOV,31_right_RHOV_blue,,,1755,,,,,
RHOV,32_left_RHOV_green,,,1758,,,,,
RHOV,32_right_RHOV_blue,,,1759,,,,,
RHOV,32_right_RHOV_green,,,1760,,,,,
RHOV,33_right_RHOV_blue,1.3,,1763,,,,,
RHOV,34_right_RHOV_green,1.22,,1768,,,,,
RHOV,35_left_RHOV_blue,1.96,,1769,2.743,,,,
RHOV,35_left_RHOV_green,0.57,,1770,0.991,,,,
RHOV,35_right_RHOV_blue,1.73,,1771,1.159,,,,
RHOV,36_right_RHOV_green,,,1776,,,,,
RHOV,6_left_RHOV_blue,2.12,,1785,1.67,,,,
RHOV,6_left_RHOV_green,2.32,,1786,2.16,,,,
RHOV,8_left_RHOV_green,1.92,,1794,,1.405,,,
RHOV,9_left_RHOV_blue,1.16,,1797,,,,,
SAAP,10_left_SAAP_blue,1.21,,1805,,,,,
SAAP,10_left_SAAP_green,2.44,,1806,,,,,
SAAP,10_right_SAAP_blue,2.22,,1807,,,,,
SAAP,13_left_SAAP_blue,,,1817,,,,,
SAAP,13_right_SAAP_blue,0.3,,1819,,,,,
SAAP,13_right_SAAP_green,0.3,,1820,,,,,
SAAP,15_left_SAAP_green,0.909,,1826,,,,,
SAAP,15_right_SAAP_blue,0.6,,1827,,,,,
SAAP,17_left_SAAP_green,2.03,,1834,,,,,
SAAP,17_right_SAAP_blue,1.5,,1835,,,,,
SAAP,18_left_SAAP_blue,0.2,,1837,,,,,
SAAP,19_left_SAAP_blue,3.18,,1841,,,,,
SAAP,19_left_SAAP_green,2.34,,1842,,,,,
SAAP,19_right_SAAP_blue,1.36,,1843,,,,,
SAAP,19_right_SAAP_green,3.12,,1844,,,,,
SAAP,2_left_SAAP_blue,1.21,,1845,,,,,
SAAP,2_right_SAAP_blue,0.3,,1847,,,,,
SAAP,20_left_SAAP_blue,1.84,,1849,,,,,
SAAP,20_left_SAAP_green,2.21,,1850,,,,,
SAAP,20_right_SAAP_blue,3.26,,1851,,,,,
SAAP,20_right_SAAP_green,2.88,,1852,,,,,
SAAP,21_left_SAAP_blue,2.59,,1853,,,,,
SAAP,21_left_SAAP_green,,,1854,,,,,
SAAP,21_right_SAAP_green,,,1856,,,,,
SAAP,22_left_SAAP_blue,4.77,,1857,1.9,,,,
SAAP,22_right_SAAP_green,3.5,,1860,3.6,,,,
SAAP,23_right_SAAP_blue,2.23,,1863,,,,,
SAAP,23_right_SAAP_green,2.34,,1864,,,,,
SAAP,24_right_SAAP_green,1.75,,1868,,,,,
SAAP,25_left_SAAP_blue,3.43,,1869,3.339,,,,
SAAP,25_left_SAAP_green,2.02,,1870,1.637,,,,
SAAP,25_right_SAAP_blue,1.79,,1871,1.315,,,,
SAAP,25_right_SAAP_green,3.6,,1872,2.85,,,,
SAAP,26_left_SAAP_blue,0.37,,1873,,,,,
SAAP,26_left_SAAP_green,0.77,,1874,,,,,
SAAP,26_right_SAAP_blue,,,1875,,,,,
SAAP,27_left_SAAP_green,2.61,,1878,2.26,,,,
SAAP,27_right_SAAP_green,3.07,,1880,2.68,,,,
SAAP,28_left_SAAP_blue,1.83,,1881,2,,,,
SAAP,28_left_SAAP_green,1.08,,1882,,,,,
SAAP,28_right_SAAP_blue,1.23,,1883,,,,,
SAAP,28_right_SAAP_green,0.57,,1884,1.9,,,,
SAAP,29_left_SAAP_blue,,,1885,,,,,
SAAP,29_left_SAAP_green,2.51,,1886,2.23,,,,
SAAP,3_right_SAAP_green,1.58,,1892,,,,,
SAAP,30_left_SAAP_blue,1.8,,1893,,,,,
SAAP,30_left_SAAP_green,,,1894,,,,,
SAAP,30_right_SAAP_green,,,1896,,,,,
SAAP,31_left_SAAP_blue,,,1897,,,,,
SAAP,31_left_SAAP_green,,,1898,,,,,
SAAP,31_right_SAAP_blue,,,1899,,,,,
SAAP,31_right_SAAP_green,,,1900,,,,,
SAAP,32_left_SAAP_blue,,,1901,,,,,
SAAP,32_left_SAAP_green,,,1902,,,,,
SAAP,32_right_SAAP_blue,,,1903,,,,,
SAAP,32_right_SAAP_green,5.33,,1904,,,,,
SAAP,34_left_SAAP_blue,1.07,,1909,,,,,
SAAP,34_left_SAAP_green,,,1910,,,,,
SAAP,34_right_SAAP_green,2.32,,1912,,,,,
SAAP,35_left_SAAP_blue,1.83,,1913,1.209,,,,
SAAP,35_left_SAAP_green,2.13,,1914,2.603,,,,
SAAP,35_right_SAAP_blue,2.57,,1915,2.412,,,,
SAAP,35_right_SAAP_green,3.57,,1916,2.579,,,,
SAAP,36_left_SAAP_blue,,,1917,,,,,
SAAP,36_left_SAAP_green,1.26,,1918,,,,,
SAAP,36_right_SAAP_blue,2.37,,1919,,,,,
SAAP,36_right_SAAP_green,,,1920,,,,,
SAAP,6_left_SAAP_blue,3.56,,1929,,,,,
SAAP,6_left_SAAP_green,0.53,,1930,,,,,
SAAP,6_right_SAAP_blue,,,1931,,,,,
SAAP,7_left_SAAP_blue,,,1933,,,,,
SAAP,7_left_SAAP_green,0.68,,1934,,,,,
SAAP,7_right_SAAP_green,1.17,,1936,,,,,
SAAP,9_right_SAAP_green,2.13,,1944,,,,,
