species,ID,PAR,PAR_actual,Photo,CI_out
CEOL,CEOL0819_1,2000,1999.671143,9.784054222,302.2485169
CEOL,CEOL0819_1,1000,999.9699707,11.0614063,273.439566
CEOL,CEOL0819_1,500,500.6879272,8.442231116,300.761518
CEOL,CEOL0819_1,250,249.7788849,10.43795213,263.6058595
CEOL,CEOL0819_1,100,99.15198517,8.26425647,246.2354337
CEOL,CEOL0819_1,50,49.53804398,5.056079423,294.2787176
CEOL,CEOL0819_1,25,24.04846001,4.638475421,293.9143608
CEOL,CEOL0819_1,0,0.242625818,3.157103401,308.1677864
CEOL,CEOL0922_2,2000,1999.930054,17.06466797,289.7724438
CEOL,CEOL0922_2,1000,1000.188843,13.51430697,281.4738295
CEOL,CEOL0922_2,500,500.6982422,13.82112584,267.704239
CEOL,CEOL0922_2,250,250.9742584,10.66378128,274.4715028
CEOL,CEOL0922_2,100,100.7836609,7.066699226,265.2253594
CEOL,CEOL0922_2,50,51.08568573,3.538785062,321.2674524
CEOL,CEOL0922_2,25,25.54327011,1.380052722,356.2288579
CEOL,CEOL0922_2,0,0.204167277,2.11356543,325.8616918
CEOL,CEOL0922_3,2000,2000.421143,18.08637812,274.2779278
CEOL,CEOL0922_3,1000,999.3482666,19.82858382,227.7004907
CEOL,CEOL0922_3,500,501.1392212,10.18617216,287.6770555
CEOL,CEOL0922_3,250,251.0231476,9.484920682,256.5902218
CEOL,CEOL0922_3,100,100.4290619,4.563844898,297.3294625
CEOL,CEOL0922_3,50,51.20009613,-5.080092439,703.6201245
CEOL,CEOL0922_3,25,25.41030884,-2.779659001,-345.213279
CEOL,CEOL0922_3,0,-0.027368156,-5.817321608,-589.8805148
CEOL,CEOL1122_4,2000,2000.370728,7.56429687,169.3802371
CEOL,CEOL1122_4,1000,1000.516846,10.58820942,195.7445945
CEOL,CEOL1122_4,500,499.6225891,7.956697229,226.8724264
CEOL,CEOL1122_4,250,250.2250214,5.498919911,197.4838948
CEOL,CEOL1122_4,100,100.3396759,2.778880241,43.99088676
CEOL,CEOL1122_4,50,50.99111938,1.946067217,2273.647675
CEOL,CEOL1122_4,25,25.62612343,-1.108440754,301.4004763
CEOL,CEOL1122_4,0,0.088021308,-1.932900391,312.8689815
CEOL,CEOL0131_6,2000,1998.637451,5.639111874,296.217897
CEOL,CEOL0131_6,1000,999.7752075,5.708375807,280.402424
CEOL,CEOL0131_6,500,500.1967468,5.445994814,272.2757902
CEOL,CEOL0131_6,250,249.6768799,6.118742776,228.4824827
CEOL,CEOL0131_6,100,100.8770294,3.574769281,283.7815256
CEOL,CEOL0131_6,50,49.36449051,2.815291174,294.4650884
CEOL,CEOL0131_6,25,25.67907715,2.179207869,300.1301027
CEOL,CEOL0131_6,0,0.189343125,0.7000661,349.2780841
HEAR,HEAR0824_1,2000,1999.952148,14.52739869,321.0293587
HEAR,HEAR0824_1,1000,999.2783203,14.5345618,303.9493738
HEAR,HEAR0824_1,500,500.9708252,10.90742914,306.9493242
HEAR,HEAR0824_1,250,249.7760468,9.52106202,299.1093013
HEAR,HEAR0824_1,100,100.9368744,6.313027002,308.2653694
HEAR,HEAR0824_1,50,49.26324844,5.214349511,287.052805
HEAR,HEAR0824_1,25,23.82138824,0.552081471,376.4891096
HEAR,HEAR0824_1,0,0.204172701,1.267921164,355.867138
HEAR,HEAR0824_2,2000,1998.905396,3.622952805,308.9509763
HEAR,HEAR0824_2,1000,998.6693115,3.193142423,261.1083067
HEAR,HEAR0824_2,500,499.4196167,2.824661473,290.4401828
HEAR,HEAR0824_2,250,251.2170105,3.571352367,266.3676146
HEAR,HEAR0824_2,100,100.7295227,2.454526109,244.7275273
HEAR,HEAR0824_2,50,50.97651672,0.886662147,269.5110709
HEAR,HEAR0824_2,25,25.69964981,0.404142116,-833.0938599
HEAR,HEAR0824_2,0,0.150903091,-0.743495428,-55.72667333
HEAR,HEAR0831_3,2000,2000.049194,13.34758586,207.9398181
HEAR,HEAR0831_3,1000,999.8442383,9.911654951,257.2293362
