alivemarch_deadmay,alivemarch_alivemay
2.59,
2.97,
,1.64
,1.173
,2.73
,3.83
,1.16
,3.07
1.54,
1.29,
1.12,
1.98,
2.7,
,1.99
1.9,
,1.22
2.34,
2.28,
2,
,
,3.31
,
1.728,
1.289,
,1.42
,1.84
,0.83
,
2.69,
,0.97
,2.36
2.6,
,2.5
,
4,
2.9,
,0.58
,
,
,
3.86,
2.32,
3,
3.12,
,2.01
2,
2,
,1.01
,
,
,
1.93,
,
,
2.11,
4.11,
2.38,
,
,
,
,0.669
1.04,
,
3.37,
,
,
,
,
2.87,
1.98,
5.11,
1.41,
2.84,
1.55,
1.77,
,4.3
,
1.78,
1.47,
1.53,
1.59,
,
,
2.43,
,
,
,
,
2.15,
3.66,
,3.41
,5.63
,3.56
1.97,
,
2.51,
2.5,
2.22,
2.08,
,
2.45,
,
,
,
,3.26
2.98,
,4.677
,2.625
2.08,
1.84,
,3.65
,
1.45,
,
,2.129
1.53,
,
2.4,
0.45,
1.41,
2.7,
,1.36
3.66,
,1.99
,2.456
,1.89
,1.33
1.7,
2.32,
,
1.43,
3.56,
3.32,
,0.53
2.59,
1.79,
1.6,
2.25,
0.97,
2.15,
3.14,
,0.815
0.75,
2.12,
,
,
73,35
,
,
2.263246575,2.2264
0.841598145,1.265283651
