species,seedlingID,alive_janH,alive_marchH,alive_mayH,alive_septH,aliveinjan,aliveinmarch,aliveinmay,aliveinsept
CEOL,1_bottom_CEOL,2.88,2.90,7.04,NA,Y,Y,Y,N
HEAR,1_bottom_HEAR,7.31,6.28,7.28,8.64,Y,Y,Y,Y
RHOV,1_bottom_RHOV,3.02,2.74,5.43,3.60,Y,Y,Y,Y
SAAP,1_bottom_SAAP,1.85,0.56,NA,NA,Y,Y,N,NA
HEAR,1_middle_HEAR,5.98,6.23,6.59,5.83,Y,Y,Y,Y
RHOV,1_middle_RHOV,0.96,0.20,NA,NA,Y,Y,N,NA
SAAP,1_middle_SAAP,7.32,NA,NA,NA,Y,N,NA,NA
CEOL,1_top_CEOL,1.80,1.63,2.93,3.56,Y,Y,Y,Y
HEAR,1_top_HEAR,8.61,7.56,7.82,3.73,Y,Y,Y,Y
RHOV,1_top_RHOV,2.02,2.26,0.54,NA,Y,Y,Y,N
SAAP,1_top_SAAP,5.12,5.79,NA,NA,Y,Y,N,NA
CEOL,10_bottom_CEOL,1.75,2.12,3.55,1.48,Y,Y,Y,Y
HEAR,10_bottom_HEAR,5.37,7.31,8.82,2.32,Y,Y,Y,Y
RHOV,10_bottom_RHOV,1.73,NA,NA,NA,Y,N,NA,NA
SAAP,10_bottom_SAAP,3.89,3.29,NA,NA,Y,Y,N,NA
HEAR,10_middle_HEAR,5.11,4.03,3.72,0.95,Y,Y,Y,Y
RHOV,10_middle_RHOV,1.73,1.88,1.94,2.80,Y,Y,Y,Y
SAAP,10_middle_SAAP,3.71,4.52,7.35,4.86,Y,Y,Y,Y
CEOL,10_top_CEOL,1.93,1.08,1.39,NA,Y,Y,Y,N
HEAR,10_top_HEAR,6.10,5.31,5.68,6.04,Y,Y,Y,Y
RHOV,10_top_RHOV,2.69,1.03,1.15,NA,Y,Y,Y,N
SAAP,10_top_SAAP,2.41,1.05,2.01,1.53,Y,Y,Y,Y
CEOL,11_bottom_CEOL,1.72,2.28,3.63,NA,Y,Y,Y,N
HEAR,11_bottom_HEAR,4.77,4.12,4.00,NA,Y,Y,Y,N
RHOV,11_bottom_RHOV,2.33,NA,NA,NA,Y,N,NA,NA
SAAP,11_bottom_SAAP,11.67,9.02,8.78,8.99,Y,Y,Y,Y
HEAR,11_middle_HEAR,6.14,5.43,3.81,NA,Y,Y,Y,N
RHOV,11_middle_RHOV,3.17,2.75,2.10,2.72,Y,Y,Y,Y
SAAP,11_middle_SAAP,10.67,10.73,10.26,10.89,Y,Y,Y,Y
CEOL,11_top_CEOL,2.65,1.94,2.12,NA,Y,Y,Y,N
HEAR,11_top_HEAR,9.23,8.56,8.98,NA,Y,Y,Y,N
RHOV,11_top_RHOV,1.70,1.34,1.10,NA,Y,Y,Y,N
SAAP,11_top_SAAP,9.44,4.41,NA,NA,Y,Y,N,NA
CEOL,12_bottom_CEOL,1.46,0.79,1.11,NA,Y,Y,Y,N
