flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220404105952,10:59:52,2022-04-04,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,123.512825,88.098053,0.286730,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,103.438499,9962.056641,1
0.010000,111.144661,9962.056641,1
0.020000,113.908409,9962.056641,1
0.030000,115.405441,9962.056641,1
0.040000,116.153244,9962.056641,1
0.050000,116.508720,9962.056641,1
0.060000,116.704346,9962.056641,1
0.070000,116.801620,9962.056641,1
0.080000,116.862778,9962.056641,1
0.090000,116.898178,9962.056641,1
0.100000,116.910339,9962.056641,1
0.110000,116.942886,9962.056641,1
0.120000,116.950035,9962.056641,1
0.130000,116.931084,9962.056641,1
0.140000,116.917847,9962.056641,1
0.150000,116.882446,9962.056641,1
0.160000,116.857765,9962.056641,1
0.170000,116.815208,9962.056641,1
0.180000,116.777298,9962.056641,1
0.190000,116.737244,9962.056641,1
0.200000,116.709709,9962.056641,1
0.210000,116.651413,9962.056641,1
0.220000,116.615654,9962.056641,1
0.230000,116.569519,9962.056641,1
0.240000,116.531967,9962.056641,1
0.250000,116.471527,9962.056641,1
0.260000,116.435410,9962.056641,1
0.270000,116.379616,9962.056641,1
0.280000,116.329552,9962.056641,1
0.290000,116.281982,9962.056641,1
0.300000,116.214394,9879.045898,2
0.310000,116.181137,9796.036133,2
0.320000,116.148949,9713.025391,2
0.330000,116.075638,9630.014648,2
0.340000,116.023064,9547.004883,2
0.350000,115.985870,9463.994141,2
0.360000,115.911842,9380.984375,2
0.370000,115.881088,9297.973633,2
0.380000,115.794182,9214.962891,2
0.390000,115.738037,9131.953125,2
0.400000,115.694046,9048.942383,2
0.410000,115.604637,8965.932617,2
0.420000,115.565659,8882.921875,2
0.430000,115.476608,8799.911133,2
0.440000,115.412231,8716.901367,2
0.450000,115.317467,8633.890625,2
0.460000,115.248085,8550.880859,2
0.470000,115.116478,8467.870117,2
0.480000,115.065338,8384.859375,2
0.490000,114.942314,8301.849609,2
0.500000,114.876152,8218.838867,2
0.510000,114.756348,8135.828613,2
0.520000,114.682320,8052.818359,2
0.530000,114.585045,7969.808105,2
0.540000,114.502785,7886.797363,2
0.550000,114.377258,7803.787109,2
0.560000,114.297150,7720.776855,2
0.570000,114.137650,7637.766602,2
0.580000,114.050034,7554.755859,2
0.590000,113.894463,7471.745605,2
0.600000,114.165543,9962.056641,3
0.610000,114.279266,9962.056641,3
0.620000,114.290359,9962.056641,3
0.630000,114.258530,9962.056641,3
0.640000,114.228127,9962.056641,3
0.650000,114.181641,9962.056641,3
0.660000,114.129425,9962.056641,3
0.670000,114.084717,9962.056641,3
0.680000,114.033936,9962.056641,3
0.690000,113.983513,9962.056641,3
0.700000,113.920212,9962.056641,3
0.710000,113.854050,9962.056641,3
0.720000,113.800766,9962.056641,3
0.730000,113.735321,9962.056641,3
0.740000,113.687752,9962.056641,3
0.750000,113.631966,9962.056641,3
0.760000,113.576172,9962.056641,3
0.770000,113.521103,9962.056641,3
0.780000,113.459587,9962.056641,3
0.790000,113.405228,9962.056641,3
0.800000,113.345505,9962.056641,3
0.810000,113.294006,9962.056641,3
0.820000,113.232849,9962.056641,3
0.830000,113.174911,9962.056641,3
0.839999,113.120201,9962.056641,3
0.849999,113.065483,9962.056641,3
0.859999,113.004684,9962.056641,3
0.869999,112.947823,9962.056641,3
0.879999,112.899185,9962.056641,3
0.889999,112.845901,9962.056641,3
