flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220410121318,12:13:18,2022-04-10,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,66.742668,60.139061,0.098941,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,64.132332,9962.056641,1
0.010000,65.518143,9962.056641,1
0.020000,65.793159,9962.056641,1
0.030000,65.889000,9962.056641,1
0.040000,65.937279,9962.056641,1
0.050000,65.963387,9962.056641,1
0.060000,65.982697,9962.056641,1
0.070000,65.997360,9962.056641,1
0.080000,66.007378,9962.056641,1
0.090000,65.995575,9962.056641,1
0.100000,65.992355,9962.056641,1
0.110000,66.023827,9962.056641,1
0.120000,66.014885,9962.056641,1
0.130000,66.001297,9962.056641,1
0.140000,66.008446,9962.056641,1
0.150000,65.998795,9962.056641,1
0.160000,65.991638,9962.056641,1
0.170000,65.990570,9962.056641,1
0.180000,65.983772,9962.056641,1
0.190000,65.987350,9962.056641,1
0.200000,65.980911,9962.056641,1
0.210000,65.982346,9962.056641,1
0.220000,65.964104,9962.056641,1
0.230000,65.957664,9962.056641,1
0.240000,65.956589,9962.056641,1
0.250000,65.949440,9962.056641,1
0.260000,65.954803,9962.056641,1
0.270000,65.945862,9962.056641,1
0.280000,65.938713,9962.056641,1
0.290000,65.937996,9962.056641,1
0.300000,65.934418,9879.045898,2
0.310000,65.922256,9796.036133,2
0.320000,65.965889,9713.025391,2
0.330000,65.959099,9630.014648,2
0.340000,65.949440,9547.004883,2
0.350000,65.998077,9463.994141,2
0.360000,65.976265,9380.984375,2
0.370000,66.015602,9297.973633,2
0.380000,66.010239,9214.962891,2
0.390000,65.998436,9131.953125,2
0.400000,66.025970,9048.942383,2
0.410000,66.027046,8965.932617,2
0.420000,66.063164,8882.921875,2
0.430000,66.058159,8799.911133,2
0.440000,66.038132,8716.901367,2
0.450000,66.035629,8633.890625,2
0.460000,66.022400,8550.880859,2
0.470000,65.994858,8467.870117,2
0.480000,65.986992,8384.859375,2
0.490000,65.975548,8301.849609,2
0.500000,65.954445,8218.838867,2
0.510000,65.929771,8135.828613,2
0.520000,65.906166,8052.818359,2
0.530000,65.890793,7969.808105,2
0.540000,65.859314,7886.797363,2
0.550000,65.826775,7803.787109,2
0.560000,65.810326,7720.776855,2
0.570000,65.767410,7637.766602,2
0.580000,65.722343,7554.755859,2
0.590000,65.686226,7471.745605,2
0.600000,65.470215,9962.056641,3
0.610000,65.481659,9962.056641,3
0.620000,65.464142,9962.056641,3
0.630000,65.457703,9962.056641,3
0.640000,65.461281,9962.056641,3
0.650000,65.439819,9962.056641,3
0.660000,65.437675,9962.056641,3
0.670000,65.429451,9962.056641,3
0.680000,65.412643,9962.056641,3
0.690000,65.417648,9962.056641,3
0.700000,65.405487,9962.056641,3
0.710000,65.405487,9962.056641,3
0.720000,65.381882,9962.056641,3
0.730000,65.389397,9962.056641,3
0.740000,65.375092,9962.056641,3
0.750000,65.362572,9962.056641,3
0.760000,65.366150,9962.056641,3
0.770000,65.364365,9962.056641,3
0.780000,65.347908,9962.056641,3
0.790000,65.341118,9962.056641,3
0.800000,65.330742,9962.056641,3
0.810000,65.325020,9962.056641,3
0.820000,65.313934,9962.056641,3
0.830000,65.316437,9962.056641,3
0.839999,65.305710,9962.056641,3
0.849999,65.266731,9962.056641,3
0.859999,65.269943,9962.056641,3
0.869999,65.255997,9962.056641,3
0.879999,65.247055,9962.056641,3
0.889999,65.224167,9962.056641,3
