flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00342_20220414110721,11:07:21,2022-04-14,PFA-00370,PSA-00387,PSF-00342,0.000000,0.000000,0.000000,103.095253,88.389519,0.142642,0.448533

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,97.004768,9962.056641,1
0.010000,101.248024,9962.056641,1
0.020000,102.311966,9962.056641,1
0.030000,102.672104,9962.056641,1
0.040000,102.820877,9962.056641,1
0.050000,102.889183,9962.056641,1
0.060000,102.916000,9962.056641,1
0.070000,102.937462,9962.056641,1
0.080000,102.930305,9962.056641,1
0.090000,102.942108,9962.056641,1
0.100000,102.946404,9962.056641,1
0.110000,102.963570,9962.056641,1
0.120000,102.963570,9962.056641,1
0.130000,102.957489,9962.056641,1
0.140000,102.951408,9962.056641,1
0.150000,102.932449,9962.056641,1
0.160000,102.899193,9962.056641,1
0.170000,102.908134,9962.056641,1
0.180000,102.882385,9962.056641,1
0.190000,102.879166,9962.056641,1
0.200000,102.876663,9962.056641,1
0.210000,102.862000,9962.056641,1
0.220000,102.860214,9962.056641,1
0.230000,102.845192,9962.056641,1
0.240000,102.851990,9962.056641,1
0.250000,102.845909,9962.056641,1
0.260000,102.830887,9962.056641,1
0.270000,102.820518,9962.056641,1
0.280000,102.824448,9962.056641,1
0.290000,102.820160,9962.056641,1
0.300000,102.800491,9879.045898,2
0.310000,102.803352,9796.036133,2
0.320000,102.853775,9713.025391,2
0.330000,102.851631,9630.014648,2
0.340000,102.862000,9547.004883,2
0.350000,102.916000,9463.994141,2
0.360000,102.910278,9380.984375,2
0.370000,102.968575,9297.973633,2
0.380000,102.962135,9214.962891,2
0.390000,102.957130,9131.953125,2
0.400000,103.000046,9048.942383,2
0.410000,102.999687,8965.932617,2
0.420000,103.042603,8882.921875,2
0.430000,103.029724,8799.911133,2
0.440000,103.018280,8716.901367,2
0.450000,102.996468,8633.890625,2
0.460000,102.989319,8550.880859,2
0.470000,102.968575,8467.870117,2
0.480000,102.958206,8384.859375,2
0.490000,102.953911,8301.849609,2
0.500000,102.951767,8218.838867,2
0.510000,102.936028,8135.828613,2
0.520000,102.932449,8052.818359,2
0.530000,102.904556,7969.808105,2
0.540000,102.898834,7886.797363,2
0.550000,102.857353,7803.787109,2
0.560000,102.846268,7720.776855,2
0.570000,102.814079,7637.766602,2
0.580000,102.798340,7554.755859,2
0.590000,102.767227,7471.745605,2
0.600000,102.637413,9962.056641,3
0.610000,102.694275,9962.056641,3
0.620000,102.715012,9962.056641,3
0.630000,102.700356,9962.056641,3
0.640000,102.690338,9962.056641,3
0.650000,102.688194,9962.056641,3
0.660000,102.678177,9962.056641,3
0.670000,102.670670,9962.056641,3
0.680000,102.663872,9962.056641,3
0.690000,102.661011,9962.056641,3
0.700000,102.649216,9962.056641,3
0.710000,102.640274,9962.056641,3
0.720000,102.629181,9962.056641,3
0.730000,102.612732,9962.056641,3
0.740000,102.608803,9962.056641,3
0.750000,102.615952,9962.056641,3
0.760000,102.598785,9962.056641,3
0.770000,102.604866,9962.056641,3
0.780000,102.581261,9962.056641,3
0.790000,102.601288,9962.056641,3
0.800000,102.583054,9962.056641,3
0.810000,102.573395,9962.056641,3
0.820000,102.571251,9962.056641,3
0.830000,102.556229,9962.056641,3
0.839999,102.548004,9962.056641,3
0.849999,102.536919,9962.056641,3
0.859999,102.535843,9962.056641,3
0.869999,102.527977,9962.056641,3
0.879999,102.517609,9962.056641,3
0.889999,102.506165,9962.056641,3
